Time;SpineBase_X;SpineBase_Y;SpineBase_Z;SpineBase_State;SpineMid_X;SpineMid_Y;SpineMid_Z;SpineMid_State;Neck_X;Neck_Y;Neck_Z;Neck_State;Head_X;Head_Y;Head_Z;Head_State;ShoulderLeft_X;ShoulderLeft_Y;ShoulderLeft_Z;ShoulderLeft_State;ElbowLeft_X;ElbowLeft_Y;ElbowLeft_Z;ElbowLeft_State;WristLeft_X;WristLeft_Y;WristLeft_Z;WristLeft_State;HandLeft_X;HandLeft_Y;HandLeft_Z;HandLeft_State;ShoulderRight_X;ShoulderRight_Y;ShoulderRight_Z;ShoulderRight_State;ElbowRight_X;ElbowRight_Y;ElbowRight_Z;ElbowRight_State;WristRight_X;WristRight_Y;WristRight_Z;WristRight_State;HandRight_X;HandRight_Y;HandRight_Z;HandRight_State;HipLeft_X;HipLeft_Y;HipLeft_Z;HipLeft_State;KneeLeft_X;KneeLeft_Y;KneeLeft_Z;KneeLeft_State;AnkleLeft_X;AnkleLeft_Y;AnkleLeft_Z;AnkleLeft_State;FootLeft_X;FootLeft_Y;FootLeft_Z;FootLeft_State;HipRight_X;HipRight_Y;HipRight_Z;HipRight_State;KneeRight_X;KneeRight_Y;KneeRight_Z;KneeRight_State;AnkleRight_X;AnkleRight_Y;AnkleRight_Z;AnkleRight_State;FootRight_X;FootRight_Y;FootRight_Z;FootRight_State;SpineShoulder_X;SpineShoulder_Y;SpineShoulder_Z;SpineShoulder_State;HandTipLeft_X;HandTipLeft_Y;HandTipLeft_Z;HandTipLeft_State;ThumbLeft_X;ThumbLeft_Y;ThumbLeft_Z;ThumbLeft_State;HandTipRight_X;HandTipRight_Y;HandTipRight_Z;HandTipRight_State;ThumbRight_X;ThumbRight_Y;ThumbRight_Z;ThumbRight_State
48627000;-0.043222;-0.178364;2.054284;2;-0.039326;0.135430;2.080678;2;-0.035727;0.436369;2.092665;2;-0.049793;0.563726;2.150154;2;-0.164964;0.310671;2.037367;2;-0.247551;0.045991;2.050910;2;-0.252591;-0.172590;1.989070;2;-0.239126;-0.209985;1.990377;2;0.106560;0.294393;2.045721;2;0.222445;0.286241;1.838581;2;0.042601;0.445349;1.837746;2;0.024585;0.465586;1.830405;1;-0.111376;-0.171349;2.014504;2;-0.081227;-0.571391;2.027329;2;-0.104975;-0.907876;2.057569;2;-0.078188;-0.964930;1.984482;2;0.026262;-0.179300;2.023353;2;0.019534;-0.570117;2.035656;2;0.007262;-0.903053;2.059549;2;0.004960;-0.967318;1.981718;2;-0.036728;0.362930;2.092092;2;-0.239951;-0.276955;1.983868;2;-0.197553;-0.194834;1.961267;2;-0.006520;0.484861;1.849576;2;0.021552;0.442937;1.864636;2
48627031;-0.045045;-0.180473;2.056681;2;-0.041059;0.133115;2.080871;2;-0.037724;0.433745;2.091074;2;-0.046256;0.564632;2.152433;2;-0.166465;0.308810;2.038532;2;-0.247053;0.045204;2.052689;2;-0.252220;-0.173403;1.991000;2;-0.239609;-0.210162;1.994669;2;0.103904;0.289337;2.044358;2;0.219790;0.222644;1.848207;2;0.062192;0.376819;1.794752;2;0.040413;0.400087;1.780508;2;-0.113717;-0.174484;2.018344;2;-0.081067;-0.573167;2.028920;2;-0.104962;-0.908045;2.057842;2;-0.078980;-0.965161;1.987751;2;0.025013;-0.180507;2.024596;2;0.018032;-0.571656;2.036965;2;0.008696;-0.901010;2.058551;2;0.004841;-0.966861;1.982458;2;-0.038634;0.360305;2.090941;2;-0.240489;-0.277258;1.988126;2;-0.197966;-0.196149;1.967148;2;0.010065;0.431815;1.768571;2;0.059354;0.413839;1.783214;2
48627065;-0.046923;-0.191970;2.062341;2;-0.046469;0.128158;2.085071;2;-0.048055;0.433873;2.095929;2;-0.039403;0.564431;2.153231;2;-0.166989;0.306916;2.039339;2;-0.246254;0.044833;2.054511;2;-0.251879;-0.174048;1.994096;2;-0.239141;-0.210171;1.996169;2;0.083816;0.263285;2.026182;2;0.243285;0.156131;1.891616;2;0.076421;0.297397;1.762373;2;0.049192;0.322806;1.737635;2;-0.115494;-0.188134;2.028413;2;-0.079765;-0.575609;2.030330;2;-0.104758;-0.908846;2.058265;2;-0.079404;-0.965361;1.986316;2;0.023215;-0.189793;2.026711;2;0.017394;-0.578331;2.039380;2;0.008786;-0.902960;2.058650;2;0.004942;-0.966570;1.981469;2;-0.047248;0.358962;2.095352;2;-0.236624;-0.277068;1.985454;2;-0.197831;-0.194227;1.967741;2;0.020447;0.343990;1.714197;2;0.011166;0.327635;1.725778;2
48627098;-0.043707;-0.191990;2.066173;2;-0.044375;0.127312;2.088216;2;-0.046329;0.433245;2.098163;2;-0.033908;0.563822;2.153376;2;-0.154767;0.295915;2.033819;2;-0.246499;0.042747;2.057527;2;-0.251763;-0.175883;1.996044;2;-0.239706;-0.208318;2.000181;2;0.117209;0.336170;2.078600;2;0.207175;0.158658;1.902523;2;0.069245;0.222893;1.727324;2;0.051630;0.232969;1.700958;2;-0.110518;-0.188076;2.032978;2;-0.080389;-0.576424;2.030827;2;-0.104736;-0.908766;2.058213;2;-0.078060;-0.965656;1.987926;2;0.024845;-0.189729;2.029357;2;0.017381;-0.585177;2.042838;2;0.008868;-0.909817;2.061555;2;0.005380;-0.966782;1.980855;2;-0.045572;0.358281;2.097785;2;-0.241981;-0.275295;1.991843;2;-0.199353;-0.220555;1.972450;2;0.036064;0.238068;1.672201;2;0.021002;0.235823;1.708750;2
48627131;-0.044464;-0.184376;2.068488;2;-0.044250;0.128673;2.089319;2;-0.045635;0.432919;2.098913;2;-0.032314;0.563979;2.152510;2;-0.158257;0.299277;2.036404;2;-0.246202;0.042871;2.059588;2;-0.252056;-0.175988;1.999191;2;-0.240479;-0.208201;2.002497;2;0.115480;0.332840;2.076951;2;0.212225;0.129969;1.957243;2;0.096250;0.128168;1.721111;2;0.066729;0.132951;1.691167;2;-0.110723;-0.179560;2.034576;2;-0.080518;-0.577777;2.031674;2;-0.104627;-0.908778;2.058156;2;-0.077778;-0.965897;1.988140;2;0.023493;-0.182903;2.032049;2;0.017152;-0.585408;2.042967;2;0.009134;-0.910018;2.062074;2;0.006295;-0.967063;1.981219;2;-0.045130;0.358290;2.098486;2;-0.242353;-0.275178;1.993489;2;-0.198672;-0.205054;1.971294;2;0.055406;0.132309;1.660238;2;0.042017;0.136176;1.692286;2
48627165;-0.044698;-0.183156;2.069231;2;-0.043783;0.129395;2.090332;2;-0.043729;0.432828;2.100279;2;-0.031087;0.564348;2.150704;2;-0.172594;0.306282;2.049648;2;-0.245953;0.043084;2.062457;2;-0.253282;-0.176015;2.003384;2;-0.240699;-0.209084;2.005261;2;0.114398;0.314088;2.072022;2;0.198471;0.111445;1.996430;2;0.123787;0.057705;1.777295;2;0.089142;0.036831;1.711183;2;-0.110877;-0.178640;2.034715;2;-0.080515;-0.576938;2.032079;2;-0.104290;-0.908000;2.057744;2;-0.077885;-0.965684;1.987641;2;0.023115;-0.181309;2.033593;2;0.017163;-0.585419;2.042976;2;0.008552;-0.910167;2.060590;2;0.006321;-0.967092;1.981151;2;-0.043744;0.358447;2.099753;2;-0.241924;-0.277785;1.998464;2;-0.199655;-0.215528;1.975333;2;0.081276;0.027605;1.673567;2;0.058708;0.039778;1.706125;2
48627199;-0.045070;-0.182971;2.069529;2;-0.043578;0.129404;2.090562;2;-0.041709;0.432150;2.100505;2;-0.029797;0.564761;2.148823;2;-0.172153;0.306659;2.049353;2;-0.245841;0.043644;2.065870;2;-0.253828;-0.175438;2.006848;2;-0.242568;-0.209609;2.010678;2;0.116684;0.306025;2.071582;2;0.190156;0.094872;2.013572;2;0.156084;-0.013695;1.810499;2;0.108532;-0.045827;1.752650;2;-0.111246;-0.178324;2.034549;2;-0.080476;-0.576610;2.032425;2;-0.103907;-0.907707;2.057873;2;-0.077878;-0.965868;1.988276;2;0.022522;-0.181245;2.034687;2;0.017398;-0.585224;2.043092;2;0.008779;-0.910035;2.060079;2;0.004743;-0.967673;1.981569;2;-0.042395;0.358031;2.100060;2;-0.242996;-0.276688;2.000904;2;-0.200029;-0.223992;1.979167;2;0.108009;-0.070465;1.706764;2;0.078277;-0.054661;1.776214;2
48627232;-0.045291;-0.182597;2.069784;2;-0.043222;0.129537;2.090813;2;-0.039924;0.431746;2.100671;2;-0.028197;0.564992;2.145256;2;-0.175053;0.308067;2.052959;2;-0.245950;0.044113;2.067756;2;-0.255173;-0.175336;2.010699;2;-0.242303;-0.210355;2.012551;2;0.117609;0.304195;2.071841;2;0.175600;0.085982;2.027000;2;0.166765;-0.070013;1.855781;2;0.129718;-0.120847;1.792898;2;-0.111518;-0.177731;2.034356;2;-0.080810;-0.575442;2.033124;2;-0.103894;-0.907602;2.057931;2;-0.077805;-0.965890;1.988180;2;0.022272;-0.180962;2.035440;2;0.017247;-0.585080;2.043361;2;0.009020;-0.909805;2.061315;2;0.004362;-0.967859;1.982135;2;-0.041042;0.357806;2.100307;2;-0.243397;-0.277216;2.004380;2;-0.199046;-0.197925;1.977875;2;0.133993;-0.161265;1.753986;2;0.106897;-0.152513;1.812143;2
48627264;-0.045317;-0.182396;2.069936;2;-0.042804;0.129619;2.090939;2;-0.038556;0.431417;2.100464;2;-0.026258;0.565169;2.141876;2;-0.176084;0.308393;2.054010;2;-0.245940;0.044158;2.069612;2;-0.255769;-0.175432;2.013382;2;-0.244506;-0.211611;2.015339;2;0.118415;0.302380;2.071265;2;0.169141;0.075984;2.027172;2;0.165012;-0.117083;1.901959;2;0.148195;-0.178666;1.851192;2;-0.111553;-0.177358;2.034117;2;-0.081222;-0.573622;2.033622;2;-0.103631;-0.907084;2.057611;2;-0.076921;-0.966012;1.988325;2;0.022253;-0.180794;2.036136;2;0.017149;-0.585121;2.043364;2;0.008998;-0.909756;2.062212;2;0.004308;-0.967845;1.983448;2;-0.039908;0.357593;2.100237;2;-0.243798;-0.277427;2.008039;2;-0.200579;-0.209399;1.978890;2;0.150604;-0.225508;1.822303;2;0.131221;-0.211096;1.864625;2
48627297;-0.044862;-0.182442;2.070558;2;-0.041501;0.129422;2.091227;2;-0.036143;0.430826;2.099795;2;-0.023762;0.565637;2.139266;2;-0.175948;0.308047;2.053749;2;-0.246131;0.043597;2.071586;2;-0.257520;-0.176658;2.019208;2;-0.246344;-0.212397;2.020491;2;0.119771;0.300346;2.070759;2;0.165263;0.054212;2.030774;2;0.175432;-0.159149;1.950664;2;0.165137;-0.225693;1.920291;2;-0.111311;-0.177349;2.034042;2;-0.081337;-0.573613;2.034124;2;-0.103595;-0.907043;2.057667;2;-0.076768;-0.966042;1.987817;2;0.023116;-0.181068;2.038269;2;0.017068;-0.586124;2.044148;2;0.008542;-0.910727;2.063148;2;0.004198;-0.967841;1.983640;2;-0.037731;0.357078;2.099876;2;-0.245210;-0.277296;2.012362;2;-0.204755;-0.221622;1.987389;2;0.173266;-0.271917;1.903607;2;0.193166;-0.229799;1.929734;2
48627330;-0.044408;-0.182413;2.071212;2;-0.040227;0.129261;2.091528;2;-0.033936;0.430283;2.099303;2;-0.021350;0.565711;2.136928;2;-0.175577;0.307374;2.053290;2;-0.246261;0.042969;2.072917;2;-0.258831;-0.177368;2.021392;2;-0.247670;-0.208136;2.023506;2;0.120907;0.299078;2.070047;2;0.164004;0.044408;2.037331;2;0.181388;-0.174912;1.981821;2;0.174242;-0.240714;1.979890;2;-0.111055;-0.177280;2.034092;2;-0.081912;-0.573534;2.034866;2;-0.103442;-0.907119;2.057930;2;-0.076794;-0.966005;1.987688;2;0.023719;-0.181192;2.039573;2;0.016473;-0.586336;2.044403;2;0.008170;-0.910857;2.064207;2;0.004926;-0.969478;1.990568;2;-0.035718;0.356613;2.099624;2;-0.247207;-0.277088;2.019308;2;-0.206805;-0.230929;1.992857;2;0.182429;-0.295832;1.977168;2;0.190891;-0.240797;1.946346;2
48627363;-0.043939;-0.182411;2.071520;2;-0.038963;0.129073;2.091188;2;-0.031722;0.429687;2.097451;2;-0.018925;0.565574;2.134005;2;-0.174859;0.306837;2.052100;2;-0.246380;0.042683;2.073392;2;-0.260070;-0.177892;2.023592;2;-0.248236;-0.209353;2.023078;2;0.122398;0.297452;2.068952;2;0.165463;0.035148;2.049981;2;0.185568;-0.187201;2.016681;2;0.176572;-0.250821;2.022979;2;-0.110658;-0.177203;2.033959;2;-0.084734;-0.570179;2.035110;2;-0.103174;-0.906297;2.057549;2;-0.076200;-0.965375;1.986877;2;0.024346;-0.181322;2.040303;2;0.016297;-0.586344;2.044403;2;0.008476;-0.910811;2.064817;2;0.006339;-0.967724;1.987103;2;-0.033706;0.356107;2.098220;2;-0.247128;-0.277385;2.019621;2;-0.205833;-0.202918;1.989542;2;0.186905;-0.303051;2.026376;2;0.198485;-0.243614;2.004306;2
48627397;-0.042812;-0.182399;2.072358;2;-0.037511;0.129081;2.091091;2;-0.030080;0.429712;2.096291;2;-0.016767;0.565488;2.132180;2;-0.174165;0.306410;2.050992;2;-0.246465;0.042434;2.073777;2;-0.260667;-0.178376;2.025559;2;-0.250922;-0.207781;2.025837;2;0.123805;0.296422;2.068592;2;0.167932;0.029984;2.066053;2;0.186750;-0.193153;2.042252;2;0.168834;-0.254159;2.061393;2;-0.109623;-0.177121;2.034121;2;-0.084772;-0.570396;2.035300;2;-0.102901;-0.906236;2.057350;2;-0.075074;-0.965765;1.985171;2;0.025459;-0.181414;2.041571;2;0.016835;-0.588171;2.045181;2;0.008453;-0.912676;2.065001;2;0.007492;-0.967247;1.984213;2;-0.032086;0.356105;2.097341;2;-0.248975;-0.277187;2.023361;2;-0.205778;-0.216410;1.990225;2;0.183569;-0.308130;2.063809;2;0.199077;-0.243146;2.044962;2
