Time;SpineBase_X;SpineBase_Y;SpineBase_Z;SpineBase_State;SpineMid_X;SpineMid_Y;SpineMid_Z;SpineMid_State;Neck_X;Neck_Y;Neck_Z;Neck_State;Head_X;Head_Y;Head_Z;Head_State;ShoulderLeft_X;ShoulderLeft_Y;ShoulderLeft_Z;ShoulderLeft_State;ElbowLeft_X;ElbowLeft_Y;ElbowLeft_Z;ElbowLeft_State;WristLeft_X;WristLeft_Y;WristLeft_Z;WristLeft_State;HandLeft_X;HandLeft_Y;HandLeft_Z;HandLeft_State;ShoulderRight_X;ShoulderRight_Y;ShoulderRight_Z;ShoulderRight_State;ElbowRight_X;ElbowRight_Y;ElbowRight_Z;ElbowRight_State;WristRight_X;WristRight_Y;WristRight_Z;WristRight_State;HandRight_X;HandRight_Y;HandRight_Z;HandRight_State;HipLeft_X;HipLeft_Y;HipLeft_Z;HipLeft_State;KneeLeft_X;KneeLeft_Y;KneeLeft_Z;KneeLeft_State;AnkleLeft_X;AnkleLeft_Y;AnkleLeft_Z;AnkleLeft_State;FootLeft_X;FootLeft_Y;FootLeft_Z;FootLeft_State;HipRight_X;HipRight_Y;HipRight_Z;HipRight_State;KneeRight_X;KneeRight_Y;KneeRight_Z;KneeRight_State;AnkleRight_X;AnkleRight_Y;AnkleRight_Z;AnkleRight_State;FootRight_X;FootRight_Y;FootRight_Z;FootRight_State;SpineShoulder_X;SpineShoulder_Y;SpineShoulder_Z;SpineShoulder_State;HandTipLeft_X;HandTipLeft_Y;HandTipLeft_Z;HandTipLeft_State;ThumbLeft_X;ThumbLeft_Y;ThumbLeft_Z;ThumbLeft_State;HandTipRight_X;HandTipRight_Y;HandTipRight_Z;HandTipRight_State;ThumbRight_X;ThumbRight_Y;ThumbRight_Z;ThumbRight_State
82718144;-0.053445;-0.277573;2.301786;2;-0.041581;0.045290;2.228397;2;-0.031858;0.359448;2.142812;2;0.004165;0.478390;2.135218;2;-0.183853;0.266086;2.211704;2;-0.247006;0.051978;2.243541;2;-0.278584;-0.132283;2.225286;2;-0.283487;-0.181314;2.225436;2;0.122736;0.232116;2.110631;2;0.150368;0.007553;2.129128;2;0.142534;-0.189672;2.119024;2;0.110084;-0.236010;2.129272;2;-0.120693;-0.268561;2.278488;2;-0.099315;-0.724770;2.295076;2;-0.113800;-1.145198;2.148939;2;-0.193837;-1.037575;2.079740;2;0.015418;-0.277778;2.251869;2;0.005423;-0.732548;2.278746;2;0.062141;-1.107041;2.111784;2;0.125958;-1.024926;2.058981;2;-0.034190;0.282206;2.166466;2;-0.276579;-0.251148;2.227247;2;-0.227267;-0.168044;2.238115;2;0.096184;-0.314647;2.132320;2;0.075865;-0.200761;2.136316;2
82718175;-0.058952;-0.277530;2.301075;2;-0.049262;0.045120;2.231415;2;-0.041289;0.358697;2.150517;2;-0.006600;0.481055;2.141404;2;-0.186813;0.259537;2.218637;2;-0.252784;0.045354;2.245973;2;-0.280436;-0.133727;2.223199;2;-0.278786;-0.182748;2.224066;2;0.122871;0.232114;2.110605;2;0.141625;0.006933;2.131130;2;0.105137;-0.216334;2.121911;2;0.090062;-0.261175;2.129435;1;-0.126674;-0.269240;2.277199;2;-0.101701;-0.725081;2.295265;2;-0.115074;-1.165400;2.155122;2;-0.192802;-1.055845;2.085330;2;0.010484;-0.277079;2.251678;2;0.001737;-0.731820;2.279009;2;0.049932;-1.118804;2.109506;2;0.123740;-1.059252;2.038625;2;-0.043233;0.281650;2.172906;2;-0.270158;-0.256985;2.221081;2;-0.237588;-0.176083;2.255500;2;0.076909;-0.329267;2.133478;2;0.059497;-0.244172;2.121454;2
82718208;-0.069369;-0.276778;2.297230;2;-0.058200;0.044017;2.231879;2;-0.049013;0.355755;2.153877;2;-0.016955;0.482060;2.144744;2;-0.197412;0.259934;2.221685;2;-0.256455;0.043045;2.245909;2;-0.282552;-0.140108;2.214907;2;-0.274745;-0.188120;2.213460;2;0.102668;0.230326;2.115324;2;0.130654;0.005367;2.131058;2;0.101028;-0.218893;2.119751;2;0.082273;-0.261522;2.119859;1;-0.137468;-0.269329;2.272983;2;-0.105498;-0.724408;2.293789;2;-0.116419;-1.162413;2.155014;2;-0.196755;-1.054346;2.087309;2;0.000870;-0.275504;2.248230;2;-0.005351;-0.730267;2.275926;2;0.047777;-1.116466;2.109122;2;0.131712;-1.012977;2.036858;2;-0.051221;0.279192;2.175602;2;-0.266623;-0.260114;2.202819;2;-0.234591;-0.194082;2.234200;2;0.071990;-0.328632;2.124413;2;0.051635;-0.242694;2.110773;2
82718243;-0.077846;-0.276156;2.296338;2;-0.063658;0.044365;2.233110;2;-0.051673;0.355857;2.156126;2;-0.029382;0.483924;2.148684;2;-0.202670;0.261606;2.223525;2;-0.258380;0.043316;2.245238;2;-0.283510;-0.141042;2.209903;2;-0.273197;-0.188649;2.205757;2;0.095901;0.229038;2.117824;2;0.122601;0.003440;2.130259;2;0.092161;-0.220690;2.115597;2;0.068450;-0.263476;2.115421;2;-0.145911;-0.268458;2.273190;2;-0.108130;-0.723351;2.292726;2;-0.133936;-1.148761;2.153543;2;-0.212496;-1.040598;2.083090;2;-0.007442;-0.275103;2.246244;2;-0.013152;-0.729783;2.274525;2;0.037783;-1.111222;2.105745;2;0.105905;-1.071320;2.013444;2;-0.054495;0.279341;2.177676;2;-0.264190;-0.258402;2.190624;2;-0.233459;-0.180355;2.231184;2;0.051206;-0.326670;2.114746;2;0.030471;-0.261198;2.102059;2
82718274;-0.079445;-0.274717;2.293656;2;-0.065936;0.045228;2.232459;2;-0.054771;0.356380;2.157243;2;-0.037319;0.485957;2.151040;2;-0.210443;0.264371;2.227536;2;-0.259658;0.043669;2.244737;2;-0.284037;-0.141395;2.201624;2;-0.271835;-0.187739;2.197643;2;0.088015;0.231567;2.118688;2;0.116711;0.005857;2.128594;2;0.090744;-0.191611;2.103772;2;0.059139;-0.247559;2.112418;2;-0.147028;-0.267774;2.271992;2;-0.112672;-0.723139;2.290073;2;-0.128658;-1.141694;2.154907;2;-0.211670;-1.037765;2.084191;2;-0.009441;-0.272634;2.241453;2;-0.016664;-0.727170;2.270794;2;0.035979;-1.106511;2.100696;2;0.108709;-1.054180;2.018039;2;-0.057372;0.279950;2.178307;2;-0.262852;-0.258121;2.180056;2;-0.229735;-0.200332;2.220944;2;0.043871;-0.319027;2.104125;2;0.012751;-0.203315;2.101818;2
82718311;-0.081534;-0.273739;2.292693;2;-0.070116;0.046773;2.232821;2;-0.060765;0.358401;2.159857;2;-0.048219;0.489051;2.155541;2;-0.216238;0.264543;2.230146;2;-0.261705;0.042418;2.243469;2;-0.284403;-0.138436;2.195904;2;-0.270248;-0.186064;2.192863;2;0.080064;0.234574;2.119209;2;0.112710;0.009158;2.127279;2;0.090752;-0.191580;2.103692;2;0.058313;-0.246487;2.109729;2;-0.149094;-0.266992;2.271942;2;-0.112448;-0.722471;2.288172;2;-0.127879;-1.141577;2.154347;2;-0.212234;-1.038172;2.085417;2;-0.011574;-0.271450;2.239490;2;-0.021069;-0.725996;2.268658;2;0.027515;-1.112904;2.099514;2;0.125429;-1.027146;2.024150;2;-0.062997;0.281860;2.180326;2;-0.257007;-0.257192;2.175829;2;-0.229109;-0.180675;2.225917;2;0.041411;-0.319311;2.107065;2;0.012806;-0.203327;2.101327;2
82718344;-0.083543;-0.271450;2.291361;2;-0.073782;0.049175;2.233087;2;-0.065922;0.360825;2.162096;2;-0.058154;0.490701;2.159033;2;-0.221813;0.268119;2.235255;2;-0.262925;0.044294;2.242409;2;-0.273861;-0.163015;2.187558;2;-0.264515;-0.201375;2.188761;2;0.074540;0.237972;2.120175;2;0.110010;0.012716;2.126097;2;0.090899;-0.190482;2.102700;2;0.057511;-0.240660;2.108070;2;-0.150330;-0.265574;2.271711;2;-0.114257;-0.721137;2.287744;2;-0.134296;-1.146127;2.157718;2;-0.215331;-1.040516;2.086652;2;-0.014369;-0.268272;2.236789;2;-0.021889;-0.722727;2.267027;2;0.028871;-1.104685;2.098213;2;0.094946;-1.091375;1.999470;2;-0.067815;0.284291;2.182059;2;-0.249187;-0.260746;2.168048;2;-0.226832;-0.206141;2.223052;2;0.040303;-0.313831;2.108094;2;0.012485;-0.202744;2.100386;2
82718376;-0.084413;-0.269966;2.290605;2;-0.076825;0.052183;2.233545;2;-0.071496;0.365749;2.164500;2;-0.065625;0.492850;2.161464;2;-0.225354;0.268821;2.238872;2;-0.264123;0.044158;2.242197;2;-0.287695;-0.113762;2.181467;2;-0.267785;-0.181371;2.185515;2;0.069218;0.241924;2.120095;2;0.108353;0.017055;2.124181;2;0.091314;-0.189166;2.101391;2;0.057683;-0.238736;2.107589;2;-0.150721;-0.264660;2.271505;2;-0.113795;-0.720473;2.285232;2;-0.109745;-1.174802;2.156679;2;-0.193742;-1.068092;2.093882;2;-0.015709;-0.266338;2.235533;2;-0.022597;-0.720716;2.266409;2;0.030234;-1.105029;2.097523;2;0.101747;-1.083121;2.004813;2;-0.072757;0.288712;2.183948;2;-0.250865;-0.249399;2.163377;2;-0.227330;-0.191805;2.223735;2;0.037633;-0.314040;2.112833;2;0.012168;-0.200306;2.097635;2
82718408;-0.084546;-0.269849;2.290510;2;-0.077675;0.052841;2.233836;2;-0.072818;0.366948;2.165231;2;-0.074066;0.493835;2.165094;2;-0.228403;0.266252;2.242743;2;-0.265805;0.041045;2.242290;2;-0.268342;-0.172673;2.180795;2;-0.260543;-0.204478;2.184213;2;0.063264;0.244510;2.118637;2;0.106854;0.020358;2.121834;2;0.092574;-0.188175;2.099838;2;0.061756;-0.236954;2.109288;2;-0.150833;-0.263865;2.271836;2;-0.110132;-0.720420;2.277129;2;-0.110554;-1.174485;2.156400;2;-0.194096;-1.067341;2.093647;2;-0.016073;-0.266678;2.234944;2;-0.022860;-0.720912;2.266528;2;0.030723;-1.105980;2.097620;2;0.103332;-1.087746;2.006039;2;-0.074001;0.289785;2.184598;2;-0.244586;-0.252308;2.171754;2;-0.226507;-0.210651;2.223103;2;0.040248;-0.309110;2.116060;2;0.017864;-0.197774;2.097879;2
82718444;-0.084559;-0.269827;2.290528;2;-0.078025;0.053312;2.234026;2;-0.073325;0.367949;2.165391;2;-0.083876;0.495005;2.169110;2;-0.230525;0.261684;2.246969;2;-0.267767;0.036223;2.242597;2;-0.289885;-0.120764;2.178451;2;-0.271827;-0.176547;2.179002;2;0.062906;0.244735;2.118489;2;0.107845;0.020690;2.119953;2;0.094466;-0.187083;2.099006;2;0.065398;-0.233980;2.112438;2;-0.150634;-0.262961;2.272896;2;-0.109086;-0.719494;2.277910;2;-0.120699;-1.166915;2.159493;2;-0.203283;-1.059991;2.094255;2;-0.016287;-0.267181;2.234410;2;-0.022861;-0.721116;2.267642;2;0.031578;-1.107612;2.097723;2;0.106869;-1.075022;2.011847;2;-0.074486;0.290647;2.184793;2;-0.250067;-0.248085;2.166508;2;-0.228197;-0.172302;2.228625;2;0.046519;-0.302963;2.120278;2;0.017304;-0.198334;2.098216;2
