Time;SpineBase_X;SpineBase_Y;SpineBase_Z;SpineBase_State;SpineMid_X;SpineMid_Y;SpineMid_Z;SpineMid_State;Neck_X;Neck_Y;Neck_Z;Neck_State;Head_X;Head_Y;Head_Z;Head_State;ShoulderLeft_X;ShoulderLeft_Y;ShoulderLeft_Z;ShoulderLeft_State;ElbowLeft_X;ElbowLeft_Y;ElbowLeft_Z;ElbowLeft_State;WristLeft_X;WristLeft_Y;WristLeft_Z;WristLeft_State;HandLeft_X;HandLeft_Y;HandLeft_Z;HandLeft_State;ShoulderRight_X;ShoulderRight_Y;ShoulderRight_Z;ShoulderRight_State;ElbowRight_X;ElbowRight_Y;ElbowRight_Z;ElbowRight_State;WristRight_X;WristRight_Y;WristRight_Z;WristRight_State;HandRight_X;HandRight_Y;HandRight_Z;HandRight_State;HipLeft_X;HipLeft_Y;HipLeft_Z;HipLeft_State;KneeLeft_X;KneeLeft_Y;KneeLeft_Z;KneeLeft_State;AnkleLeft_X;AnkleLeft_Y;AnkleLeft_Z;AnkleLeft_State;FootLeft_X;FootLeft_Y;FootLeft_Z;FootLeft_State;HipRight_X;HipRight_Y;HipRight_Z;HipRight_State;KneeRight_X;KneeRight_Y;KneeRight_Z;KneeRight_State;AnkleRight_X;AnkleRight_Y;AnkleRight_Z;AnkleRight_State;FootRight_X;FootRight_Y;FootRight_Z;FootRight_State;SpineShoulder_X;SpineShoulder_Y;SpineShoulder_Z;SpineShoulder_State;HandTipLeft_X;HandTipLeft_Y;HandTipLeft_Z;HandTipLeft_State;ThumbLeft_X;ThumbLeft_Y;ThumbLeft_Z;ThumbLeft_State;HandTipRight_X;HandTipRight_Y;HandTipRight_Z;HandTipRight_State;ThumbRight_X;ThumbRight_Y;ThumbRight_Z;ThumbRight_State
82791628;-0.038411;-0.232532;2.392484;2;-0.011878;0.083720;2.305497;2;-0.000760;0.395130;2.208450;2;-0.039127;0.501388;2.245164;2;-0.155154;0.322283;2.354725;2;-0.280716;0.300206;2.525155;2;-0.419900;0.363809;2.580291;2;-0.453824;0.382213;2.573716;2;0.073417;0.338895;2.136566;2;0.121999;0.214799;1.932334;2;0.014866;0.145844;1.745431;2;-0.012511;0.139574;1.721958;2;-0.092620;-0.224707;2.382401;2;-0.174915;-0.575640;2.399316;2;-0.142333;-0.976574;2.237958;2;-0.237335;-0.969743;2.123198;2;0.016010;-0.233035;2.329759;2;0.094618;-0.654359;2.368440;2;0.107161;-0.974728;2.251735;2;0.041698;-1.004546;2.139951;2;-0.003107;0.318064;2.235979;2;-0.524021;0.410350;2.586884;2;-0.478107;0.415432;2.537286;2;-0.062325;0.081659;1.664826;2;-0.037793;0.158470;1.714385;2
82791662;-0.044251;-0.229704;2.392702;2;-0.016368;0.086748;2.304704;2;0.000101;0.396623;2.206381;2;-0.036726;0.504181;2.243612;2;-0.177058;0.319408;2.377453;2;-0.324855;0.339711;2.529512;2;-0.478242;0.464198;2.524999;2;-0.503467;0.492387;2.531322;2;0.069328;0.333482;2.139050;2;0.114650;0.198893;1.941037;2;0.008321;0.126020;1.753924;2;-0.023034;0.102946;1.731683;2;-0.096555;-0.223048;2.382789;2;-0.180639;-0.598587;2.417879;2;-0.144859;-0.996135;2.248756;2;-0.239974;-0.974939;2.134161;2;0.008832;-0.229097;2.329460;2;0.091328;-0.658083;2.373585;2;0.128261;-0.971005;2.346853;2;0.090423;-1.024932;2.212132;2;-0.003333;0.319799;2.234133;2;-0.549743;0.509391;2.522933;2;-0.499908;0.507917;2.486001;2;-0.067041;0.041686;1.679429;2;-0.051709;0.115460;1.721733;2
82791692;-0.056720;-0.218740;2.391874;2;-0.022011;0.089843;2.304467;2;0.000181;0.396217;2.206084;2;-0.036283;0.505082;2.243007;2;-0.184981;0.321515;2.378262;2;-0.348439;0.392089;2.500766;2;-0.456383;0.518635;2.477439;2;-0.490180;0.557417;2.471870;2;0.067487;0.324754;2.143476;2;0.109549;0.182293;1.960593;2;0.023850;0.098489;1.789349;2;-0.050858;0.045888;1.730484;2;-0.107445;-0.213219;2.387505;2;-0.173200;-0.647012;2.442718;2;-0.145829;-1.037366;2.255653;2;-0.233757;-0.989568;2.139349;2;-0.005937;-0.216181;2.321845;2;0.072464;-0.587186;2.374643;2;0.095134;-0.992464;2.263394;2;0.064087;-1.078010;2.157619;2;-0.003737;0.319783;2.233811;2;-0.540885;0.595259;2.457522;2;-0.485690;0.582502;2.429572;2;-0.086705;-0.009064;1.698234;2;-0.069458;0.063216;1.732167;2
82791729;-0.072671;-0.217816;2.390834;2;-0.034559;0.088218;2.304446;2;-0.003377;0.391098;2.205854;2;-0.035995;0.504523;2.242454;2;-0.208784;0.333026;2.383339;2;-0.369761;0.432420;2.464744;2;-0.458426;0.583630;2.415362;2;-0.485051;0.624497;2.407236;2;0.064005;0.301296;2.150127;2;0.102827;0.172495;1.979448;2;0.013327;0.052539;1.794425;2;-0.053480;0.008914;1.743185;2;-0.126703;-0.211560;2.391605;2;-0.173234;-0.646966;2.442809;2;-0.170751;-1.042485;2.265658;2;-0.255750;-0.981672;2.152821;2;-0.017988;-0.216556;2.317107;2;0.071146;-0.650988;2.386292;2;0.161251;-0.983123;2.161581;2;0.089065;-1.074650;2.129763;2;-0.009447;0.315856;2.233342;2;-0.518063;0.658121;2.373660;2;-0.450576;0.617499;2.371300;2;-0.091476;-0.044701;1.711788;2;-0.079129;0.012793;1.730030;2
82791760;-0.084223;-0.219891;2.392001;2;-0.047619;0.082221;2.306350;2;-0.014506;0.377122;2.207948;2;-0.037313;0.499399;2.242542;2;-0.226555;0.342165;2.385721;2;-0.377621;0.461237;2.426219;2;-0.440800;0.605964;2.361130;2;-0.461524;0.654697;2.346023;2;0.067939;0.296845;2.156101;2;0.086863;0.139262;1.971855;2;-0.019682;0.008439;1.804841;2;-0.045649;-0.024718;1.767200;2;-0.138089;-0.213192;2.392406;2;-0.174376;-0.645657;2.441593;2;-0.173090;-1.042132;2.266731;2;-0.256488;-0.991264;2.147397;2;-0.027965;-0.219251;2.318345;2;0.060321;-0.602093;2.378492;2;0.149497;-0.950096;2.184975;1;0.067331;-1.033971;2.139527;2;-0.022069;0.304482;2.235114;2;-0.491528;0.704767;2.306467;2;-0.432567;0.658351;2.304741;2;-0.091162;-0.077915;1.729871;2;-0.076263;-0.022641;1.743115;2
82791794;-0.097328;-0.225879;2.391510;2;-0.054789;0.079276;2.308514;2;-0.017048;0.375669;2.211251;2;-0.039664;0.495087;2.243826;2;-0.232398;0.344521;2.378752;2;-0.383543;0.487853;2.378563;2;-0.430053;0.634265;2.302155;2;-0.441891;0.687472;2.279467;2;0.040440;0.261026;2.172179;2;0.083832;0.097949;1.997844;2;0.034867;-0.011509;1.866361;2;-0.035073;-0.066534;1.794333;2;-0.149892;-0.218576;2.391617;2;-0.185607;-0.640759;2.436153;2;-0.175029;-1.039295;2.266646;2;-0.265793;-0.987759;2.155627;2;-0.041897;-0.226018;2.318110;2;0.058546;-0.605322;2.377949;2;0.154338;-0.946479;2.195837;1;0.168091;-0.984375;2.076172;2;-0.025713;0.302803;2.238110;2;-0.460966;0.734824;2.239381;2;-0.404659;0.681879;2.238906;2;-0.073192;-0.124291;1.754196;2;-0.067708;-0.066146;1.760464;2
82791826;-0.115792;-0.230542;2.388766;2;-0.071684;0.073599;2.312170;2;-0.030579;0.368868;2.221915;2;-0.043664;0.488396;2.244197;2;-0.243167;0.350615;2.366442;2;-0.384326;0.499752;2.336600;2;-0.411116;0.644013;2.245515;2;-0.419459;0.704521;2.220207;2;0.044223;0.257450;2.175035;2;0.081085;0.067475;2.030975;2;0.044197;-0.049469;1.902379;2;-0.024706;-0.116608;1.826792;2;-0.171464;-0.223122;2.384636;2;-0.229416;-0.585054;2.395982;2;-0.208948;-0.993277;2.253794;2;-0.296525;-0.970637;2.132065;2;-0.057405;-0.230846;2.318842;2;0.053721;-0.609596;2.374416;2;0.145668;-0.906122;2.302875;2;0.080460;-0.983497;2.206125;2;-0.040465;0.296328;2.246862;2;-0.428113;0.748621;2.176088;2;-0.380560;0.688289;2.188872;2;-0.058135;-0.167905;1.788187;2;-0.065293;-0.115992;1.812800;2
82791861;-0.116165;-0.234677;2.384354;2;-0.077773;0.067227;2.313768;2;-0.049449;0.355338;2.237240;2;-0.046038;0.483437;2.246738;2;-0.248524;0.345289;2.344687;2;-0.384963;0.501351;2.310252;2;-0.392496;0.648480;2.199064;2;-0.396390;0.709285;2.168255;2;0.045569;0.245996;2.185739;2;0.076534;0.038553;2.069619;2;0.031608;-0.104249;1.933954;2;-0.000858;-0.163054;1.882930;2;-0.171260;-0.227592;2.376611;2;-0.205135;-0.681188;2.380964;2;-0.223695;-1.063834;2.217867;2;-0.310577;-0.985409;2.121521;2;-0.057891;-0.234621;2.317083;2;0.048363;-0.667846;2.375556;2;0.113008;-0.972007;2.308964;2;0.064020;-0.998047;2.164734;2;-0.055618;0.284823;2.257647;2;-0.398119;0.755686;2.120815;2;-0.356786;0.685418;2.140970;2;-0.032680;-0.220199;1.837864;2;-0.057231;-0.187393;1.918750;2
82791892;-0.119884;-0.237312;2.378655;2;-0.081167;0.061724;2.312703;2;-0.049340;0.348603;2.237814;2;-0.048749;0.480848;2.248390;2;-0.256228;0.352403;2.333618;2;-0.387518;0.510727;2.261288;2;-0.372900;0.654475;2.145873;2;-0.374749;0.714431;2.114818;2;0.052148;0.236365;2.200473;2;0.080514;0.054193;2.141409;2;0.050959;-0.133420;2.002290;2;0.030397;-0.195990;1.950682;2;-0.176431;-0.230947;2.364401;2;-0.223389;-0.679781;2.393389;2;-0.254740;-1.011032;2.200481;2;-0.338045;-0.961297;2.108147;2;-0.060085;-0.236370;2.315856;2;0.049133;-0.668758;2.374707;2;0.107754;-0.973312;2.303622;2;0.109225;-0.996703;2.148938;2;-0.056699;0.278363;2.258194;2;-0.374354;0.758202;2.070991;2;-0.336755;0.670931;2.087360;2;0.000936;-0.256172;1.898220;2;-0.025022;-0.218174;1.949500;2
82791928;-0.144887;-0.233198;2.373643;2;-0.094276;0.062429;2.314741;2;-0.052224;0.348795;2.240920;2;-0.050555;0.480233;2.249233;2;-0.257384;0.353978;2.319263;2;-0.387082;0.510483;2.239059;2;-0.358862;0.649953;2.107125;2;-0.349518;0.706022;2.069338;2;0.053547;0.236999;2.215131;2;0.082947;0.054066;2.169056;2;0.064641;-0.160671;2.078021;2;0.053182;-0.226356;2.035586;2;-0.216391;-0.220513;2.351134;2;-0.217450;-0.669304;2.396476;2;-0.253306;-1.012975;2.200472;2;-0.316293;-0.979699;2.104291;2;-0.073414;-0.236272;2.317849;2;0.016594;-0.626155;2.341233;2;0.083496;-0.975196;2.257618;2;0.058092;-1.015546;2.112273;2;-0.061659;0.278565;2.261537;2;-0.341233;0.749538;2.022313;2;-0.312336;0.665628;2.040095;2;0.042195;-0.290789;1.984710;2;0.011088;-0.252517;2.012875;2
