Time;SpineBase_X;SpineBase_Y;SpineBase_Z;SpineBase_State;SpineMid_X;SpineMid_Y;SpineMid_Z;SpineMid_State;Neck_X;Neck_Y;Neck_Z;Neck_State;Head_X;Head_Y;Head_Z;Head_State;ShoulderLeft_X;ShoulderLeft_Y;ShoulderLeft_Z;ShoulderLeft_State;ElbowLeft_X;ElbowLeft_Y;ElbowLeft_Z;ElbowLeft_State;WristLeft_X;WristLeft_Y;WristLeft_Z;WristLeft_State;HandLeft_X;HandLeft_Y;HandLeft_Z;HandLeft_State;ShoulderRight_X;ShoulderRight_Y;ShoulderRight_Z;ShoulderRight_State;ElbowRight_X;ElbowRight_Y;ElbowRight_Z;ElbowRight_State;WristRight_X;WristRight_Y;WristRight_Z;WristRight_State;HandRight_X;HandRight_Y;HandRight_Z;HandRight_State;HipLeft_X;HipLeft_Y;HipLeft_Z;HipLeft_State;KneeLeft_X;KneeLeft_Y;KneeLeft_Z;KneeLeft_State;AnkleLeft_X;AnkleLeft_Y;AnkleLeft_Z;AnkleLeft_State;FootLeft_X;FootLeft_Y;FootLeft_Z;FootLeft_State;HipRight_X;HipRight_Y;HipRight_Z;HipRight_State;KneeRight_X;KneeRight_Y;KneeRight_Z;KneeRight_State;AnkleRight_X;AnkleRight_Y;AnkleRight_Z;AnkleRight_State;FootRight_X;FootRight_Y;FootRight_Z;FootRight_State;SpineShoulder_X;SpineShoulder_Y;SpineShoulder_Z;SpineShoulder_State;HandTipLeft_X;HandTipLeft_Y;HandTipLeft_Z;HandTipLeft_State;ThumbLeft_X;ThumbLeft_Y;ThumbLeft_Z;ThumbLeft_State;HandTipRight_X;HandTipRight_Y;HandTipRight_Z;HandTipRight_State;ThumbRight_X;ThumbRight_Y;ThumbRight_Z;ThumbRight_State
51628489;0.076096;-0.486327;2.270231;2;0.083626;-0.164577;2.323919;2;0.090231;0.147263;2.361494;2;0.111058;0.299858;2.359833;2;-0.080748;0.027987;2.346382;2;-0.140313;-0.240416;2.312505;2;-0.177393;-0.447838;2.233333;2;-0.183821;-0.505620;2.217880;2;0.264374;0.020595;2.349648;2;0.320436;-0.260752;2.358189;2;0.342691;-0.472091;2.285827;2;0.351485;-0.513761;2.281633;2;-0.004677;-0.475617;2.229333;2;-0.047955;-0.846157;2.217411;2;-0.052298;-1.181819;2.245445;2;-0.069243;-1.259377;2.168993;1;0.154227;-0.480613;2.234235;2;0.175480;-0.844360;2.212620;2;0.194368;-1.193153;2.237358;2;0.191044;-1.273675;2.164605;1;0.088667;0.070524;2.354708;2;-0.177277;-0.590326;2.215677;2;-0.199173;-0.500587;2.182088;2;0.353990;-0.598797;2.270342;2;0.377550;-0.508665;2.257300;2
51628522;0.075958;-0.486445;2.269887;2;0.083526;-0.164640;2.323730;2;0.090190;0.147267;2.361457;2;0.111045;0.299965;2.360168;2;-0.080777;0.027916;2.346483;2;-0.140357;-0.240353;2.312460;2;-0.177752;-0.447681;2.233175;2;-0.184911;-0.504733;2.219041;2;0.264032;0.020203;2.349687;2;0.321260;-0.261235;2.359112;2;0.353302;-0.474580;2.300143;2;0.362258;-0.512567;2.295168;2;-0.004781;-0.475743;2.229121;2;-0.047994;-0.846451;2.217264;2;-0.052268;-1.181858;2.245494;2;-0.070786;-1.258516;2.167737;1;0.154061;-0.480702;2.233738;2;0.175372;-0.844154;2.212377;2;0.193828;-1.193494;2.236771;2;0.192408;-1.273851;2.163654;1;0.088617;0.070517;2.354647;2;-0.176412;-0.589562;2.213741;2;-0.223376;-0.468464;2.222250;2;0.373058;-0.603061;2.288963;2;0.388881;-0.495387;2.277000;2
51628554;0.075631;-0.486641;2.269144;2;0.083431;-0.164744;2.323624;2;0.090154;0.147180;2.361633;2;0.110865;0.299923;2.360477;2;-0.080823;0.027738;2.346350;2;-0.140590;-0.240339;2.312390;2;-0.178135;-0.447717;2.233346;2;-0.185109;-0.505470;2.219702;2;0.263512;0.019670;2.349730;2;0.323279;-0.260975;2.361894;2;0.368736;-0.473958;2.314469;2;0.379476;-0.515457;2.312998;2;-0.005089;-0.475986;2.228554;2;-0.048073;-0.846597;2.217161;2;-0.052413;-1.181382;2.244933;2;-0.071803;-1.257902;2.167269;1;0.153736;-0.480825;2.232815;2;0.175196;-0.844020;2.211893;2;0.193120;-1.193407;2.236538;2;0.192970;-1.273796;2.163568;1;0.088579;0.070445;2.354725;2;-0.175749;-0.590888;2.216331;2;-0.216912;-0.484733;2.212533;2;0.395571;-0.610413;2.315897;2;0.398056;-0.537505;2.309333;2
51628591;0.075372;-0.486640;2.268795;2;0.083271;-0.164785;2.323493;2;0.090081;0.147159;2.361660;2;0.110466;0.299960;2.361130;2;-0.080879;0.027644;2.346465;2;-0.140736;-0.240343;2.312446;2;-0.178554;-0.447739;2.233616;2;-0.186189;-0.503115;2.223037;2;0.263015;0.019670;2.349966;2;0.325794;-0.259715;2.365408;2;0.384735;-0.471417;2.335922;2;0.398908;-0.515866;2.332456;2;-0.005339;-0.475976;2.228188;2;-0.048205;-0.846610;2.217075;2;-0.058519;-1.165703;2.246088;2;-0.067291;-1.246621;2.174424;2;0.153485;-0.480829;2.232500;2;0.175065;-0.844141;2.211504;2;0.193168;-1.193121;2.236404;2;0.192240;-1.273597;2.163599;1;0.088498;0.070420;2.354727;2;-0.179249;-0.589919;2.215103;2;-0.216109;-0.502453;2.211429;2;0.423666;-0.608738;2.340936;2;0.420872;-0.545902;2.347750;2
51628622;0.075062;-0.486645;2.268495;2;0.083150;-0.164851;2.323385;2;0.090066;0.147108;2.361682;2;0.110138;0.300060;2.361644;2;-0.081057;0.027517;2.346819;2;-0.142048;-0.241257;2.312973;2;-0.179280;-0.448750;2.234133;2;-0.186571;-0.505665;2.225894;2;0.262659;0.019480;2.350396;2;0.332420;-0.255730;2.374043;2;0.401040;-0.464968;2.354693;2;0.425634;-0.516993;2.353946;2;-0.005629;-0.476011;2.227879;2;-0.048348;-0.846923;2.216948;2;-0.057136;-1.169915;2.245711;2;-0.069265;-1.249637;2.172150;1;0.153173;-0.480802;2.232221;2;0.174942;-0.844290;2.211168;2;0.193105;-1.194027;2.236725;2;0.191767;-1.275099;2.165464;1;0.088470;0.070370;2.354728;2;-0.179697;-0.591368;2.220558;2;-0.201008;-0.511381;2.186444;2;0.454616;-0.615706;2.376165;2;0.451463;-0.561058;2.370000;2
51628655;0.074728;-0.486652;2.267901;2;0.082835;-0.164929;2.323135;2;0.089784;0.147024;2.361730;2;0.109910;0.299956;2.361812;2;-0.081376;0.027248;2.346785;2;-0.142495;-0.241582;2.313016;2;-0.180239;-0.449385;2.235461;2;-0.187880;-0.505465;2.226721;2;0.262512;0.019126;2.350758;2;0.342117;-0.252685;2.381669;2;0.422406;-0.457675;2.372481;2;0.459401;-0.526969;2.376636;2;-0.005907;-0.476105;2.227439;2;-0.048542;-0.846860;2.216366;2;-0.055753;-1.173484;2.246000;2;-0.067590;-1.251926;2.169448;1;0.152791;-0.480692;2.231455;2;0.174739;-0.844298;2.210545;2;0.193125;-1.193927;2.236416;2;0.191163;-1.275179;2.165613;1;0.088196;0.070287;2.354712;2;-0.183875;-0.591353;2.223747;2;-0.199135;-0.508021;2.187186;2;0.485553;-0.605682;2.413667;2;0.480799;-0.567989;2.404667;2
51628690;0.074241;-0.486765;2.267342;2;0.082459;-0.165008;2.322891;2;0.089536;0.147006;2.361770;2;0.109317;0.299989;2.362298;2;-0.081466;0.027036;2.346762;2;-0.143100;-0.242085;2.313315;2;-0.181201;-0.450058;2.236533;2;-0.188614;-0.505407;2.231076;2;0.262366;0.018927;2.350847;2;0.352582;-0.248928;2.390957;2;0.443275;-0.448899;2.392791;2;0.490858;-0.518584;2.403136;2;-0.006404;-0.476233;2.226834;2;-0.048833;-0.847039;2.216117;2;-0.055394;-1.174124;2.245273;2;-0.070329;-1.251523;2.167466;1;0.152340;-0.480784;2.230961;2;0.174517;-0.844473;2.210297;2;0.193289;-1.194246;2.236446;2;0.188569;-1.275168;2.164814;1;0.087930;0.070253;2.354697;2;-0.180898;-0.593729;2.229774;2;-0.218923;-0.494283;2.222357;2;0.523936;-0.589621;2.438104;2;0.502652;-0.492518;2.390556;2
51628721;0.073743;-0.486824;2.267112;2;0.082061;-0.165213;2.322652;2;0.089300;0.146753;2.361651;2;0.108907;0.300029;2.362804;2;-0.081718;0.026777;2.346736;2;-0.144482;-0.242773;2.314475;2;-0.182453;-0.450964;2.238344;2;-0.189968;-0.509807;2.233143;2;0.262377;0.018440;2.351181;2;0.362908;-0.238787;2.400197;2;0.464834;-0.432202;2.411654;2;0.514569;-0.496644;2.423479;2;-0.006860;-0.476289;2.226684;2;-0.049018;-0.847060;2.215941;2;-0.054579;-1.175808;2.245182;2;-0.067318;-1.254847;2.170378;1;0.151816;-0.480844;2.230652;2;0.174191;-0.844372;2.210061;2;0.193450;-1.194212;2.236600;2;0.186259;-1.275791;2.166931;1;0.087651;0.070002;2.354548;2;-0.182247;-0.595129;2.232089;2;-0.223355;-0.495666;2.225222;2;0.557137;-0.575887;2.469055;2;0.511057;-0.435754;2.400400;2
51628757;0.073180;-0.486799;2.266669;2;0.081717;-0.165253;2.322471;2;0.089137;0.146710;2.361689;2;0.108337;0.300169;2.363146;2;-0.081899;0.026747;2.346844;2;-0.145694;-0.244321;2.315468;2;-0.183541;-0.452682;2.239856;2;-0.190137;-0.509514;2.235045;2;0.262451;0.017887;2.351782;2;0.371562;-0.233036;2.407411;2;0.487304;-0.417073;2.427255;2;0.531601;-0.467512;2.441461;2;-0.007381;-0.476219;2.226325;2;-0.049209;-0.847079;2.215780;2;-0.054267;-1.177128;2.245118;2;-0.068455;-1.255621;2.169583;1;0.151233;-0.480871;2.230130;2;0.173885;-0.844266;2.209603;2;0.193264;-1.193769;2.236426;2;0.185427;-1.275454;2.167119;1;0.087455;0.069956;2.354546;2;-0.184364;-0.594601;2.231216;2;-0.220984;-0.505899;2.227273;2;0.587336;-0.550831;2.489493;2;0.543111;-0.431305;2.433400;2
51628790;0.072704;-0.486720;2.266280;2;0.081295;-0.165315;2.322169;2;0.088839;0.146581;2.361580;2;0.107717;0.300269;2.363588;2;-0.082091;0.026531;2.346649;2;-0.146385;-0.244899;2.315714;2;-0.184089;-0.453684;2.241449;2;-0.189605;-0.510476;2.237547;2;0.262517;0.017566;2.352576;2;0.384043;-0.225272;2.417480;2;0.508972;-0.401414;2.445333;2;0.555127;-0.444665;2.456839;2;-0.007869;-0.476106;2.225881;2;-0.049355;-0.847292;2.215613;2;-0.054444;-1.177515;2.244272;2;-0.066870;-1.257371;2.171427;1;0.150789;-0.480824;2.229802;2;0.173451;-0.843771;2.208750;2;0.193067;-1.193331;2.236035;2;0.184274;-1.274756;2.166144;1;0.087123;0.069836;2.354392;2;-0.183337;-0.595618;2.233115;2;-0.202830;-0.508899;2.199513;2;0.612392;-0.523253;2.505382;2;0.607040;-0.475786;2.477667;2
