Time;SpineBase_X;SpineBase_Y;SpineBase_Z;SpineBase_State;SpineMid_X;SpineMid_Y;SpineMid_Z;SpineMid_State;Neck_X;Neck_Y;Neck_Z;Neck_State;Head_X;Head_Y;Head_Z;Head_State;ShoulderLeft_X;ShoulderLeft_Y;ShoulderLeft_Z;ShoulderLeft_State;ElbowLeft_X;ElbowLeft_Y;ElbowLeft_Z;ElbowLeft_State;WristLeft_X;WristLeft_Y;WristLeft_Z;WristLeft_State;HandLeft_X;HandLeft_Y;HandLeft_Z;HandLeft_State;ShoulderRight_X;ShoulderRight_Y;ShoulderRight_Z;ShoulderRight_State;ElbowRight_X;ElbowRight_Y;ElbowRight_Z;ElbowRight_State;WristRight_X;WristRight_Y;WristRight_Z;WristRight_State;HandRight_X;HandRight_Y;HandRight_Z;HandRight_State;HipLeft_X;HipLeft_Y;HipLeft_Z;HipLeft_State;KneeLeft_X;KneeLeft_Y;KneeLeft_Z;KneeLeft_State;AnkleLeft_X;AnkleLeft_Y;AnkleLeft_Z;AnkleLeft_State;FootLeft_X;FootLeft_Y;FootLeft_Z;FootLeft_State;HipRight_X;HipRight_Y;HipRight_Z;HipRight_State;KneeRight_X;KneeRight_Y;KneeRight_Z;KneeRight_State;AnkleRight_X;AnkleRight_Y;AnkleRight_Z;AnkleRight_State;FootRight_X;FootRight_Y;FootRight_Z;FootRight_State;SpineShoulder_X;SpineShoulder_Y;SpineShoulder_Z;SpineShoulder_State;HandTipLeft_X;HandTipLeft_Y;HandTipLeft_Z;HandTipLeft_State;ThumbLeft_X;ThumbLeft_Y;ThumbLeft_Z;ThumbLeft_State;HandTipRight_X;HandTipRight_Y;HandTipRight_Z;HandTipRight_State;ThumbRight_X;ThumbRight_Y;ThumbRight_Z;ThumbRight_State
51697652;0.101325;-0.475695;2.023197;2;0.099999;-0.200101;2.074914;2;0.098465;0.068526;2.113164;2;0.094708;0.220061;2.104857;2;-0.072068;-0.050643;2.093242;2;-0.103812;-0.286028;2.027762;2;-0.109073;-0.475289;1.940468;2;-0.098742;-0.520301;1.934430;2;0.265349;-0.045603;2.101895;2;0.318696;-0.276539;2.062889;2;0.322993;-0.462326;1.967578;2;0.307932;-0.494076;1.962109;2;0.023991;-0.468359;1.991208;2;0.000173;-0.765010;1.976529;2;-0.023381;-1.024830;2.002041;2;-0.028360;-1.067331;1.886315;2;0.175413;-0.467772;1.990258;2;0.183046;-0.763330;1.974031;2;0.197475;-1.050349;2.004866;2;0.187731;-1.111866;1.932196;1;0.098929;0.002257;2.105871;2;-0.095898;-0.599237;1.912952;2;-0.144650;-0.514435;1.942411;2;0.310543;-0.559196;1.939324;2;0.346910;-0.463493;1.944628;2
51697685;0.101112;-0.475632;2.022891;2;0.099822;-0.200069;2.074655;2;0.098301;0.068521;2.112973;2;0.094310;0.220060;2.104537;2;-0.072327;-0.050549;2.093112;2;-0.103919;-0.286081;2.027679;2;-0.109223;-0.475297;1.940297;2;-0.098983;-0.520737;1.933878;2;0.265144;-0.045567;2.101392;2;0.318648;-0.276491;2.062894;2;0.322948;-0.462432;1.967937;2;0.307761;-0.494135;1.962058;2;0.023732;-0.468335;1.990858;2;0.000111;-0.764996;1.976504;2;-0.023468;-1.023797;2.001972;2;-0.028597;-1.066360;1.886253;2;0.175251;-0.467680;1.990013;2;0.182967;-0.763297;1.973975;2;0.197294;-1.050194;2.004959;2;0.187099;-1.112213;1.933198;1;0.098762;0.002261;2.105663;2;-0.095967;-0.599725;1.914498;2;-0.144548;-0.518176;1.941430;2;0.307737;-0.562561;1.938541;2;0.347359;-0.463481;1.945713;2
51697720;0.100828;-0.475758;2.022588;2;0.099602;-0.200147;2.074278;2;0.098115;0.068479;2.112539;2;0.093980;0.219916;2.104268;2;-0.072714;-0.050530;2.092430;2;-0.104013;-0.286132;2.027425;2;-0.109330;-0.475336;1.940033;2;-0.099276;-0.520893;1.932711;2;0.264920;-0.045469;2.100964;2;0.318594;-0.276455;2.062899;2;0.323005;-0.462413;1.968005;2;0.308419;-0.493263;1.961115;2;0.023468;-0.468433;1.990597;2;0.000001;-0.764461;1.976218;2;-0.023511;-1.023675;2.001894;2;-0.028544;-1.066331;1.886197;2;0.174963;-0.467830;1.989691;2;0.182796;-0.763254;1.973901;2;0.197191;-1.050239;2.004923;2;0.186868;-1.112170;1.932981;1;0.098569;0.002211;2.105241;2;-0.095938;-0.599559;1.913952;2;-0.145052;-0.533437;1.945333;2;0.311694;-0.558637;1.938379;2;0.351116;-0.451078;1.950364;2
51697752;0.100499;-0.475776;2.022443;2;0.099442;-0.200132;2.074148;2;0.098047;0.068506;2.112435;2;0.093744;0.219858;2.104009;2;-0.072994;-0.050508;2.092190;2;-0.104261;-0.286104;2.027255;2;-0.109893;-0.475206;1.939654;2;-0.099119;-0.520481;1.932996;2;0.264840;-0.045427;2.100865;2;0.318536;-0.276432;2.063000;2;0.323029;-0.462425;1.968204;2;0.308639;-0.493785;1.961155;2;0.023180;-0.468459;1.990485;2;-0.000055;-0.764484;1.976205;2;-0.023736;-1.025989;2.002223;2;-0.028719;-1.068660;1.886524;2;0.174603;-0.467838;1.989524;2;0.182737;-0.763228;1.973857;2;0.196886;-1.050774;2.004948;2;0.187915;-1.112977;1.933239;1;0.098482;0.002236;2.105130;2;-0.095917;-0.599381;1.913407;2;-0.146710;-0.510298;1.943500;2;0.312685;-0.558614;1.938368;2;0.348147;-0.459078;1.946232;2
51697788;0.100088;-0.475808;2.022201;2;0.099109;-0.200109;2.073829;2;0.097763;0.068575;2.112051;2;0.093592;0.219895;2.103808;2;-0.073302;-0.050410;2.091962;2;-0.104743;-0.286239;2.026792;2;-0.110019;-0.475368;1.939248;2;-0.099437;-0.520410;1.931403;2;0.264669;-0.045339;2.100534;2;0.318391;-0.276250;2.063003;2;0.323074;-0.462262;1.968274;2;0.308491;-0.492530;1.959581;2;0.022795;-0.468522;1.990226;2;-0.000202;-0.764492;1.976129;2;-0.023850;-1.025734;2.002245;2;-0.028862;-1.068473;1.886551;2;0.174181;-0.467838;1.989314;2;0.182590;-0.763332;1.973624;2;0.196800;-1.050747;2.004916;2;0.187549;-1.112991;1.933267;1;0.098186;0.002295;2.104762;2;-0.095909;-0.599324;1.913226;2;-0.144266;-0.521917;1.942550;2;0.311928;-0.558248;1.938046;2;0.348220;-0.459093;1.945846;2
51697820;0.099882;-0.475734;2.022074;2;0.098939;-0.200036;2.073709;2;0.097620;0.068639;2.111956;2;0.093465;0.219867;2.103800;2;-0.073637;-0.050403;2.091755;2;-0.105044;-0.286306;2.026572;2;-0.110263;-0.475435;1.939039;2;-0.100646;-0.519882;1.933421;2;0.264436;-0.045100;2.100409;2;0.318276;-0.276206;2.063117;2;0.323100;-0.462174;1.968318;2;0.308537;-0.491754;1.959992;2;0.022626;-0.468459;1.990161;2;-0.000288;-0.764547;1.976068;2;-0.024166;-1.024066;2.002300;2;-0.029311;-1.067003;1.886684;2;0.173939;-0.467758;1.989120;2;0.182354;-0.763469;1.973480;2;0.196650;-1.050771;2.004814;2;0.188133;-1.112698;1.932446;1;0.098037;0.002362;2.104660;2;-0.096664;-0.599799;1.914589;2;-0.144986;-0.519265;1.941457;2;0.309932;-0.558132;1.936905;2;0.347000;-0.463539;1.944292;2
51697852;0.099435;-0.475604;2.021784;2;0.098606;-0.199877;2.073255;2;0.097377;0.068827;2.111313;2;0.093225;0.219867;2.103640;2;-0.073955;-0.050259;2.091566;2;-0.105854;-0.286265;2.025786;2;-0.110591;-0.475606;1.938756;2;-0.100983;-0.519159;1.931387;2;0.264304;-0.044731;2.100073;2;0.318205;-0.276092;2.063113;2;0.323857;-0.461785;1.967785;2;0.310683;-0.491104;1.957883;2;0.022281;-0.468345;1.990017;2;-0.000383;-0.764551;1.975948;2;-0.024378;-1.023383;2.001960;2;-0.029627;-1.066242;1.886248;2;0.173388;-0.467615;1.988657;2;0.182112;-0.763356;1.973260;2;0.196225;-1.043262;2.003859;2;0.188480;-1.105933;1.932478;2;0.097771;0.002543;2.104067;2;-0.097239;-0.598206;1.910990;2;-0.145301;-0.520356;1.937746;2;0.308960;-0.558270;1.937282;2;0.346291;-0.468918;1.939125;2
51697886;0.098968;-0.475579;2.021579;2;0.098163;-0.199825;2.072876;2;0.096937;0.068903;2.110744;2;0.092988;0.219830;2.103535;2;-0.074281;-0.050191;2.091170;2;-0.106387;-0.286152;2.025381;2;-0.110918;-0.475607;1.938636;2;-0.101800;-0.519260;1.932313;2;0.263922;-0.044542;2.099476;2;0.318256;-0.275836;2.063256;2;0.325406;-0.461335;1.967655;2;0.314263;-0.487354;1.957642;2;0.021893;-0.468323;1.989921;2;-0.000532;-0.764614;1.975885;2;-0.024345;-1.023310;2.001983;2;-0.029607;-1.066212;1.886248;2;0.172851;-0.467588;1.988334;2;0.181930;-0.763409;1.973085;2;0.195939;-1.044286;2.004202;2;0.190133;-1.107424;1.933443;2;0.097331;0.002614;2.103547;2;-0.100371;-0.598845;1.914685;2;-0.147260;-0.507482;1.933909;2;0.312978;-0.556661;1.934146;2;0.354195;-0.443199;1.951364;2
51697920;0.098340;-0.475347;2.021174;2;0.097648;-0.199653;2.072419;2;0.096517;0.069009;2.110274;2;0.092864;0.219859;2.103462;2;-0.074451;-0.050012;2.091057;2;-0.107157;-0.285971;2.024972;2;-0.111455;-0.475477;1.938348;2;-0.101591;-0.518782;1.931409;2;0.263467;-0.044313;2.098954;2;0.318333;-0.275640;2.063375;2;0.326724;-0.460895;1.967387;2;0.316698;-0.487694;1.957389;2;0.021287;-0.468153;1.989584;2;-0.000711;-0.764584;1.975823;2;-0.024611;-1.027234;2.002106;2;-0.029893;-1.069933;1.886241;2;0.172230;-0.467298;1.987881;2;0.181646;-0.763300;1.972895;2;0.195644;-1.045049;2.004458;2;0.189555;-1.108113;1.933529;2;0.096888;0.002736;2.103077;2;-0.100200;-0.597875;1.911590;2;-0.146625;-0.504879;1.928111;2;0.313237;-0.556505;1.934252;2;0.354562;-0.443854;1.948154;2
51697953;0.097756;-0.475067;2.020793;2;0.096858;-0.199374;2.071931;2;0.095488;0.069261;2.109704;2;0.092667;0.219979;2.103372;2;-0.074823;-0.049966;2.090717;2;-0.107581;-0.285857;2.024809;2;-0.112028;-0.475338;1.938143;2;-0.101944;-0.519472;1.932327;2;0.263163;-0.043865;2.098503;2;0.318497;-0.275236;2.064085;2;0.328377;-0.460227;1.967721;2;0.321991;-0.488601;1.958040;2;0.020741;-0.467925;1.989277;2;-0.000809;-0.764510;1.975775;2;-0.024607;-1.027089;2.002128;2;-0.029928;-1.069830;1.886245;2;0.171633;-0.466972;1.987439;2;0.181318;-0.762963;1.972571;2;0.195633;-1.045052;2.004473;2;0.189082;-1.108152;1.933580;2;0.095921;0.002998;2.102526;2;-0.100341;-0.598646;1.914067;2;-0.146516;-0.511548;1.934592;2;0.317121;-0.556878;1.934730;2;0.358905;-0.441869;1.951923;2
