Time;SpineBase_X;SpineBase_Y;SpineBase_Z;SpineBase_State;SpineMid_X;SpineMid_Y;SpineMid_Z;SpineMid_State;Neck_X;Neck_Y;Neck_Z;Neck_State;Head_X;Head_Y;Head_Z;Head_State;ShoulderLeft_X;ShoulderLeft_Y;ShoulderLeft_Z;ShoulderLeft_State;ElbowLeft_X;ElbowLeft_Y;ElbowLeft_Z;ElbowLeft_State;WristLeft_X;WristLeft_Y;WristLeft_Z;WristLeft_State;HandLeft_X;HandLeft_Y;HandLeft_Z;HandLeft_State;ShoulderRight_X;ShoulderRight_Y;ShoulderRight_Z;ShoulderRight_State;ElbowRight_X;ElbowRight_Y;ElbowRight_Z;ElbowRight_State;WristRight_X;WristRight_Y;WristRight_Z;WristRight_State;HandRight_X;HandRight_Y;HandRight_Z;HandRight_State;HipLeft_X;HipLeft_Y;HipLeft_Z;HipLeft_State;KneeLeft_X;KneeLeft_Y;KneeLeft_Z;KneeLeft_State;AnkleLeft_X;AnkleLeft_Y;AnkleLeft_Z;AnkleLeft_State;FootLeft_X;FootLeft_Y;FootLeft_Z;FootLeft_State;HipRight_X;HipRight_Y;HipRight_Z;HipRight_State;KneeRight_X;KneeRight_Y;KneeRight_Z;KneeRight_State;AnkleRight_X;AnkleRight_Y;AnkleRight_Z;AnkleRight_State;FootRight_X;FootRight_Y;FootRight_Z;FootRight_State;SpineShoulder_X;SpineShoulder_Y;SpineShoulder_Z;SpineShoulder_State;HandTipLeft_X;HandTipLeft_Y;HandTipLeft_Z;HandTipLeft_State;ThumbLeft_X;ThumbLeft_Y;ThumbLeft_Z;ThumbLeft_State;HandTipRight_X;HandTipRight_Y;HandTipRight_Z;HandTipRight_State;ThumbRight_X;ThumbRight_Y;ThumbRight_Z;ThumbRight_State
48583597;-0.041719;-0.171352;2.066348;2;-0.040691;0.132359;2.083837;2;-0.039383;0.425477;2.088218;2;-0.031194;0.563624;2.101719;2;-0.187573;0.298874;2.045110;2;-0.246858;0.042525;2.066596;2;-0.252641;-0.175366;2.007364;2;-0.239042;-0.218751;2.001129;2;0.139309;0.323290;2.102502;2;0.362042;0.310676;2.087104;2;0.582420;0.317246;2.064264;2;0.666650;0.318482;2.062777;2;-0.107122;-0.166840;2.021272;2;-0.091560;-0.572548;2.032291;2;-0.103727;-0.908253;2.058517;2;-0.079919;-0.966611;1.987957;2;0.025132;-0.169980;2.040382;2;0.019403;-0.583918;2.041374;2;0.012829;-0.908138;2.064362;2;0.004636;-0.967821;1.982470;2;-0.039756;0.353629;2.089362;2;-0.236819;-0.283309;1.996346;2;-0.278057;-0.217112;2.010250;2;0.742497;0.320135;2.099362;2;0.603902;0.331813;2.056200;2
48583631;-0.041745;-0.171323;2.066345;2;-0.040700;0.132372;2.083829;2;-0.039384;0.425481;2.088212;2;-0.031194;0.563631;2.101699;2;-0.187647;0.298925;2.045166;2;-0.246884;0.042489;2.066630;2;-0.252553;-0.175408;2.007414;2;-0.239153;-0.219212;2.003157;2;0.139366;0.323318;2.102375;2;0.362105;0.310808;2.086932;2;0.582451;0.317559;2.063587;2;0.667343;0.318303;2.063701;2;-0.107166;-0.166800;2.021288;2;-0.091549;-0.572610;2.032347;2;-0.103561;-0.907776;2.058373;2;-0.080429;-0.966107;1.988530;2;0.025116;-0.169958;2.040370;2;0.019377;-0.583980;2.041416;2;0.012785;-0.908083;2.065386;2;0.003003;-0.969386;1.987196;2;-0.039759;0.353634;2.089355;2;-0.236724;-0.284404;2.000960;2;-0.279573;-0.214039;2.015267;2;0.742904;0.316639;2.099287;2;0.610880;0.333398;2.061478;2
48583664;-0.041748;-0.171322;2.066339;2;-0.040699;0.132382;2.083818;2;-0.039376;0.425508;2.088200;2;-0.031187;0.563637;2.101692;2;-0.187680;0.298933;2.045172;2;-0.246916;0.042558;2.066591;2;-0.252450;-0.175354;2.007419;2;-0.238715;-0.219247;2.002283;2;0.139432;0.323305;2.102257;2;0.362189;0.311051;2.086090;2;0.582564;0.317628;2.063214;2;0.667227;0.318633;2.064373;2;-0.107175;-0.166796;2.021282;2;-0.091589;-0.572935;2.032455;2;-0.103666;-0.907764;2.058403;2;-0.080356;-0.965979;1.988460;2;0.025117;-0.169959;2.040365;2;0.019014;-0.583753;2.041424;2;0.012770;-0.907880;2.065263;2;0.004575;-0.969261;1.986063;2;-0.039753;0.353656;2.089343;2;-0.238264;-0.284015;2.000488;2;-0.276298;-0.234206;2.002941;2;0.744781;0.317319;2.100900;2;0.607212;0.328323;2.071834;2
48583697;-0.041749;-0.171294;2.066313;2;-0.040691;0.132417;2.083795;2;-0.039362;0.425546;2.088186;2;-0.031190;0.563640;2.101650;2;-0.187703;0.298973;2.045178;2;-0.246918;0.042552;2.066572;2;-0.252351;-0.175343;2.007311;2;-0.239078;-0.219152;2.001615;2;0.139448;0.323354;2.102155;2;0.362209;0.311115;2.085484;2;0.582583;0.317641;2.062538;2;0.667334;0.317881;2.060300;2;-0.107182;-0.166770;2.021260;2;-0.090934;-0.575473;2.032945;2;-0.103698;-0.907916;2.058579;2;-0.079535;-0.966215;1.988565;2;0.025121;-0.169932;2.040339;2;0.019007;-0.583756;2.041425;2;0.012561;-0.907862;2.065405;2;0.005760;-0.969384;1.982776;2;-0.039740;0.353693;2.089325;2;-0.237600;-0.284418;2.000449;2;-0.279596;-0.240557;2.007000;2;0.748504;0.315152;2.097234;2;0.605047;0.325234;2.071400;2
48583733;-0.041793;-0.171278;2.066220;2;-0.040701;0.132420;2.083685;2;-0.039339;0.425536;2.088065;2;-0.031175;0.563634;2.101537;2;-0.187702;0.298974;2.045030;2;-0.246981;0.042491;2.066391;2;-0.252372;-0.175407;2.007139;2;-0.239130;-0.219048;2.000848;2;0.139464;0.323393;2.101833;2;0.362224;0.311058;2.084492;2;0.582572;0.317586;2.061016;2;0.667196;0.318015;2.057323;2;-0.107239;-0.166756;2.021171;2;-0.090829;-0.575427;2.032883;2;-0.104104;-0.907179;2.058103;2;-0.079634;-0.966241;1.988597;2;0.025092;-0.169915;2.040251;2;0.019095;-0.583766;2.041470;2;0.012671;-0.907845;2.065684;2;0.004606;-0.968444;1.984321;2;-0.039725;0.353687;2.089207;2;-0.237430;-0.284206;1.998949;2;-0.278005;-0.218513;2.005883;2;0.746164;0.312877;2.094672;2;0.606543;0.329684;2.061323;2
48583764;-0.041833;-0.171286;2.066212;2;-0.040705;0.132419;2.083680;2;-0.039331;0.425536;2.088060;2;-0.031175;0.563637;2.101504;2;-0.187698;0.299002;2.044973;2;-0.246993;0.042504;2.066425;2;-0.252373;-0.175386;2.007131;2;-0.238933;-0.219319;2.002453;2;0.139449;0.323457;2.101756;2;0.362203;0.310932;2.084071;2;0.582472;0.317616;2.059238;2;0.667446;0.319204;2.055580;2;-0.107282;-0.166750;2.021177;2;-0.091231;-0.575682;2.032957;2;-0.103767;-0.907812;2.058212;2;-0.079739;-0.966594;1.989513;2;0.025047;-0.169940;2.040228;2;0.019110;-0.583786;2.041496;2;0.012479;-0.907823;2.066013;2;0.002932;-0.969924;1.986881;2;-0.039721;0.353687;2.089203;2;-0.237585;-0.284387;2.000227;2;-0.277418;-0.225176;2.007661;2;0.746743;0.317648;2.091870;2;0.616198;0.328113;2.055000;2
48583798;-0.041869;-0.171269;2.066160;2;-0.040711;0.132430;2.083601;2;-0.039301;0.425538;2.087951;2;-0.031169;0.563649;2.101488;2;-0.187697;0.299018;2.044923;2;-0.246990;0.042483;2.066458;2;-0.252365;-0.175395;2.007115;2;-0.239140;-0.219694;2.002104;2;0.139427;0.323430;2.101495;2;0.362188;0.311057;2.083478;2;0.582378;0.317729;2.057308;2;0.667729;0.319272;2.051721;2;-0.107329;-0.166721;2.021122;2;-0.091322;-0.575653;2.032898;2;-0.103725;-0.907784;2.058171;2;-0.079828;-0.966699;1.990663;2;0.025022;-0.169933;2.040184;2;0.018883;-0.583658;2.041496;2;0.012792;-0.907834;2.064953;2;0.002802;-0.969682;1.986763;2;-0.039701;0.353691;2.089101;2;-0.236839;-0.284525;1.999061;2;-0.275727;-0.220536;2.003397;2;0.744837;0.319393;2.087869;2;0.654818;0.334444;2.052583;2
48583831;-0.041874;-0.171269;2.066095;2;-0.040705;0.132437;2.083575;2;-0.039292;0.425547;2.087947;2;-0.031142;0.563643;2.101387;2;-0.187726;0.299084;2.044903;2;-0.246986;0.042417;2.066296;2;-0.252294;-0.175481;2.007033;2;-0.239299;-0.218791;2.001139;2;0.139437;0.323473;2.100934;2;0.362189;0.310943;2.081871;2;0.582342;0.318140;2.055432;2;0.666689;0.318948;2.049493;2;-0.107336;-0.166724;2.021109;2;-0.091196;-0.575801;2.032885;2;-0.103712;-0.907851;2.058204;2;-0.080026;-0.966483;1.990353;2;0.025029;-0.169925;2.040037;2;0.018934;-0.584452;2.041367;2;0.012554;-0.908545;2.065421;2;0.002493;-0.970332;1.987557;2;-0.039693;0.353699;2.089093;2;-0.237105;-0.283169;1.998850;2;-0.278121;-0.212680;2.009238;2;0.743165;0.317619;2.082966;2;0.604344;0.304574;2.074500;2
48583865;-0.041901;-0.171252;2.066068;2;-0.040705;0.132430;2.083518;2;-0.039246;0.425498;2.087836;2;-0.031128;0.563640;2.101385;2;-0.187725;0.299103;2.044893;2;-0.246993;0.042414;2.066286;2;-0.252310;-0.175494;2.007066;2;-0.238696;-0.218759;2.002522;2;0.139595;0.323435;2.100461;2;0.362344;0.310915;2.080852;2;0.582415;0.318406;2.053381;2;0.666430;0.320090;2.047837;2;-0.107373;-0.166709;2.021096;2;-0.091840;-0.574467;2.032518;2;-0.103720;-0.907844;2.058220;2;-0.080743;-0.966749;1.992347;2;0.025010;-0.169906;2.039997;2;0.018886;-0.584184;2.041225;2;0.012589;-0.908268;2.065388;2;0.002191;-0.968496;1.987126;2;-0.039661;0.353663;2.088997;2;-0.238355;-0.283739;2.000316;2;-0.278164;-0.222816;2.010466;2;0.745384;0.317416;2.083616;2;0.606835;0.303017;2.064000;2
48583899;-0.041844;-0.171242;2.066026;2;-0.040675;0.132438;2.083498;2;-0.039237;0.425502;2.087834;2;-0.031121;0.563634;2.101390;2;-0.187728;0.299158;2.044876;2;-0.246990;0.042419;2.066322;2;-0.252304;-0.175479;2.007059;2;-0.239183;-0.218734;2.003121;2;0.139578;0.323537;2.100086;2;0.362321;0.310954;2.080083;2;0.582395;0.318560;2.052720;2;0.667790;0.321912;2.048422;2;-0.107316;-0.166717;2.021090;2;-0.091688;-0.573745;2.032303;2;-0.103627;-0.908015;2.057975;2;-0.080362;-0.966756;1.991305;2;0.025073;-0.169870;2.039903;2;0.019005;-0.585547;2.041420;2;0.012400;-0.909666;2.065158;2;0.002093;-0.968848;1.985909;2;-0.039648;0.353669;2.088992;2;-0.239954;-0.279357;1.995784;2;-0.277982;-0.222736;2.008028;2;0.744714;0.317585;2.082283;2;0.666851;0.343879;2.061572;2
48583930;-0.041892;-0.171158;2.065893;2;-0.040684;0.132485;2.083448;2;-0.039231;0.425526;2.087831;2;-0.031109;0.563640;2.101387;2;-0.187718;0.299211;2.044860;2;-0.246987;0.042380;2.066366;2;-0.252242;-0.175521;2.007108;2;-0.238503;-0.218640;2.002403;2;0.139573;0.323541;2.099785;2;0.362313;0.310934;2.079507;2;0.582295;0.318758;2.050965;2;0.668600;0.320939;2.046408;2;-0.107377;-0.166659;2.020997;2;-0.092611;-0.571909;2.032195;2;-0.103629;-0.908005;2.057956;2;-0.080683;-0.966976;1.993605;2;0.025044;-0.169760;2.039736;2;0.018563;-0.584729;2.041299;2;0.011210;-0.908801;2.065341;2;0.002680;-0.967739;1.985664;2;-0.039644;0.353695;2.088981;2;-0.240076;-0.279497;1.996784;2;-0.276370;-0.245944;2.003889;2;0.746957;0.321237;2.085475;2;0.676260;0.342848;2.056000;2
48583963;-0.041908;-0.171149;2.065862;2;-0.040702;0.132496;2.083431;2;-0.039253;0.425538;2.087829;2;-0.031091;0.563644;2.101332;2;-0.187722;0.299208;2.044855;2;-0.246982;0.042381;2.066398;2;-0.252258;-0.175524;2.007161;2;-0.238787;-0.219418;2.003027;2;0.139552;0.323581;2.099524;2;0.362293;0.310993;2.079329;2;0.582133;0.319117;2.049116;2;0.668331;0.321589;2.044990;2;-0.107396;-0.166653;2.020980;2;-0.092306;-0.572258;2.032149;2;-0.103707;-0.907973;2.058155;2;-0.080240;-0.967566;1.994617;2;0.025032;-0.169748;2.039693;2;0.018409;-0.584624;2.041311;2;0.011324;-0.908722;2.065201;2;0.002957;-0.967638;1.986152;2;-0.039663;0.353706;2.088974;2;-0.239563;-0.284172;2.002831;2;-0.277690;-0.233601;2.006450;2;0.747891;0.318406;2.082811;2;0.605067;0.324891;2.044250;2
48583997;-0.041946;-0.171175;2.065628;2;-0.040690;0.132472;2.083263;2;-0.039212;0.425517;2.087734;2;-0.031074;0.563640;2.101280;2;-0.187714;0.299248;2.044733;2;-0.246956;0.042312;2.066239;2;-0.252276;-0.175609;2.007083;2;-0.239293;-0.219304;2.000148;2;0.139629;0.323556;2.098963;2;0.362363;0.311061;2.077827;2;0.581999;0.319591;2.045465;2;0.666778;0.322155;2.039469;2;-0.107431;-0.166681;2.020799;2;-0.091909;-0.572287;2.032022;2;-0.103274;-0.907591;2.057497;2;-0.080134;-0.966827;1.992766;2;0.024991;-0.169770;2.039420;2;0.018095;-0.583945;2.040815;2;0.011258;-0.908019;2.064987;2;0.002363;-0.967429;1.985947;2;-0.039627;0.353685;2.088862;2;-0.237124;-0.283685;1.998971;2;-0.278990;-0.215096;2.012786;2;0.745690;0.318281;2.074608;2;0.616398;0.337984;2.034667;2
