Time;SpineBase_X;SpineBase_Y;SpineBase_Z;SpineBase_State;SpineMid_X;SpineMid_Y;SpineMid_Z;SpineMid_State;Neck_X;Neck_Y;Neck_Z;Neck_State;Head_X;Head_Y;Head_Z;Head_State;ShoulderLeft_X;ShoulderLeft_Y;ShoulderLeft_Z;ShoulderLeft_State;ElbowLeft_X;ElbowLeft_Y;ElbowLeft_Z;ElbowLeft_State;WristLeft_X;WristLeft_Y;WristLeft_Z;WristLeft_State;HandLeft_X;HandLeft_Y;HandLeft_Z;HandLeft_State;ShoulderRight_X;ShoulderRight_Y;ShoulderRight_Z;ShoulderRight_State;ElbowRight_X;ElbowRight_Y;ElbowRight_Z;ElbowRight_State;WristRight_X;WristRight_Y;WristRight_Z;WristRight_State;HandRight_X;HandRight_Y;HandRight_Z;HandRight_State;HipLeft_X;HipLeft_Y;HipLeft_Z;HipLeft_State;KneeLeft_X;KneeLeft_Y;KneeLeft_Z;KneeLeft_State;AnkleLeft_X;AnkleLeft_Y;AnkleLeft_Z;AnkleLeft_State;FootLeft_X;FootLeft_Y;FootLeft_Z;FootLeft_State;HipRight_X;HipRight_Y;HipRight_Z;HipRight_State;KneeRight_X;KneeRight_Y;KneeRight_Z;KneeRight_State;AnkleRight_X;AnkleRight_Y;AnkleRight_Z;AnkleRight_State;FootRight_X;FootRight_Y;FootRight_Z;FootRight_State;SpineShoulder_X;SpineShoulder_Y;SpineShoulder_Z;SpineShoulder_State;HandTipLeft_X;HandTipLeft_Y;HandTipLeft_Z;HandTipLeft_State;ThumbLeft_X;ThumbLeft_Y;ThumbLeft_Z;ThumbLeft_State;HandTipRight_X;HandTipRight_Y;HandTipRight_Z;HandTipRight_State;ThumbRight_X;ThumbRight_Y;ThumbRight_Z;ThumbRight_State
78417217;0.056293;-0.311017;2.403575;2;0.055565;0.001819;2.406480;2;0.054757;0.306005;2.395994;2;0.063976;0.440988;2.394156;2;-0.122422;0.198168;2.383859;2;-0.189480;-0.056152;2.392088;2;-0.186970;-0.274573;2.332608;2;-0.171706;-0.321060;2.323055;2;0.232632;0.194421;2.378951;2;0.283563;-0.096087;2.370838;2;0.312786;-0.323506;2.312243;2;0.325854;-0.387551;2.298718;2;-0.021049;-0.306195;2.367035;2;-0.085683;-0.677749;2.397109;2;-0.111623;-1.016111;2.404898;2;-0.130553;-1.079341;2.312395;2;0.131980;-0.306564;2.367697;2;0.168193;-0.693023;2.388759;2;0.184466;-1.020891;2.384842;2;0.185212;-1.083089;2.293037;2;0.054995;0.231142;2.400969;2;-0.166661;-0.389690;2.307768;2;-0.130410;-0.308959;2.310161;2;0.353180;-0.439918;2.276505;2;0.280099;-0.393110;2.268285;2
78417247;0.056467;-0.311204;2.403870;2;0.055775;0.001745;2.406631;2;0.055008;0.306010;2.396040;2;0.064456;0.440979;2.394115;2;-0.122212;0.197985;2.383964;2;-0.189479;-0.056113;2.392114;2;-0.186551;-0.274537;2.332667;2;-0.171997;-0.320984;2.322623;2;0.232814;0.194289;2.379113;2;0.283601;-0.096031;2.370969;2;0.312324;-0.322331;2.313806;2;0.326900;-0.388364;2.300911;2;-0.020848;-0.306382;2.367381;2;-0.085463;-0.678686;2.397397;2;-0.111628;-1.016105;2.404918;2;-0.130041;-1.077841;2.311686;2;0.132116;-0.306731;2.367929;2;0.168270;-0.693212;2.388880;2;0.184272;-1.020823;2.384804;2;0.184901;-1.083983;2.294251;2;0.055233;0.231128;2.401039;2;-0.164503;-0.389321;2.304380;2;-0.133042;-0.319110;2.299697;2;0.361262;-0.443508;2.283036;2;0.283312;-0.406715;2.268048;2
78417282;0.056771;-0.311213;2.404416;2;0.055895;0.001691;2.406825;2;0.055028;0.305964;2.396060;2;0.064713;0.440791;2.394163;2;-0.122083;0.198019;2.383928;2;-0.189204;-0.056099;2.392349;2;-0.186039;-0.274471;2.332675;2;-0.171271;-0.320405;2.322703;2;0.232915;0.194214;2.379117;2;0.283750;-0.095723;2.371417;2;0.312437;-0.322579;2.314240;2;0.327232;-0.388069;2.300830;2;-0.020635;-0.306393;2.367783;2;-0.084699;-0.677348;2.397374;2;-0.111503;-1.015962;2.404854;2;-0.129848;-1.077283;2.312713;2;0.132505;-0.306727;2.368620;2;0.168462;-0.693289;2.389201;2;0.184288;-1.020849;2.384789;2;0.184811;-1.084227;2.294524;2;0.055268;0.231079;2.401085;2;-0.162602;-0.386107;2.305330;2;-0.134691;-0.316926;2.301363;2;0.353303;-0.440097;2.277438;2;0.281391;-0.391220;2.269768;2
78417316;0.057059;-0.311491;2.405123;2;0.056063;0.001516;2.407237;2;0.055081;0.305881;2.396212;2;0.064934;0.440763;2.394199;2;-0.121802;0.198243;2.384552;2;-0.189171;-0.056141;2.392487;2;-0.185749;-0.274585;2.333157;2;-0.172048;-0.321534;2.324421;2;0.233277;0.193441;2.379684;2;0.283969;-0.096617;2.371967;2;0.312622;-0.323158;2.314718;2;0.326330;-0.389327;2.303392;2;-0.020331;-0.306545;2.368354;2;-0.084685;-0.677566;2.397502;2;-0.111469;-1.015989;2.404822;2;-0.129603;-1.077266;2.311940;2;0.132752;-0.307135;2.369465;2;0.168554;-0.693796;2.389504;2;0.184341;-1.020847;2.384844;2;0.185395;-1.083864;2.294126;2;0.055346;0.230975;2.401295;2;-0.163756;-0.386689;2.307278;2;-0.134560;-0.318131;2.301645;2;0.363369;-0.446387;2.290138;2;0.286860;-0.419981;2.263000;2
78417350;0.057412;-0.311558;2.405273;2;0.056276;0.001425;2.407326;2;0.055171;0.305791;2.396234;2;0.065218;0.440642;2.394085;2;-0.121507;0.198113;2.384449;2;-0.189092;-0.056331;2.392664;2;-0.185424;-0.274759;2.333278;2;-0.172153;-0.322033;2.324684;2;0.233373;0.193439;2.379663;2;0.284032;-0.097285;2.372115;2;0.312370;-0.322810;2.315075;2;0.327383;-0.389543;2.301726;2;-0.019970;-0.306669;2.368569;2;-0.085012;-0.682178;2.399226;2;-0.111656;-1.016240;2.404562;2;-0.129944;-1.077430;2.311815;2;0.133091;-0.307144;2.369552;2;0.168458;-0.693835;2.389657;2;0.184331;-1.020667;2.384808;2;0.185433;-1.083737;2.294161;2;0.055464;0.230883;2.401333;2;-0.166674;-0.391061;2.308542;2;-0.129909;-0.318482;2.306040;2;0.364766;-0.445986;2.282957;2;0.284058;-0.406006;2.269111;2
78417383;0.057607;-0.311515;2.405731;2;0.056390;0.001440;2.407499;2;0.055204;0.305792;2.396245;2;0.065628;0.440421;2.393959;2;-0.121476;0.198240;2.384631;2;-0.189091;-0.056122;2.393058;2;-0.180518;-0.280586;2.333486;2;-0.168955;-0.324292;2.325433;2;0.233567;0.193351;2.379764;2;0.284053;-0.097370;2.372166;2;0.311982;-0.322686;2.315379;2;0.325712;-0.389046;2.303056;2;-0.019718;-0.306555;2.369127;2;-0.085090;-0.682077;2.399335;2;-0.112297;-1.017295;2.405085;2;-0.130816;-1.078284;2.313030;2;0.133227;-0.307153;2.369909;2;0.168526;-0.693869;2.389902;2;0.184496;-1.019730;2.385005;2;0.185766;-1.082675;2.294182;2;0.055513;0.230886;2.401368;2;-0.162240;-0.386724;2.306998;2;-0.131790;-0.318267;2.303464;2;0.361098;-0.445984;2.289569;2;0.283779;-0.409265;2.267071;2
78417417;0.057550;-0.311434;2.406247;2;0.056394;0.001465;2.407677;2;0.055208;0.305793;2.396249;2;0.065694;0.440162;2.393945;2;-0.121361;0.198376;2.384667;2;-0.188980;-0.056153;2.393364;2;-0.182507;-0.274851;2.335480;2;-0.171061;-0.319827;2.326305;2;0.233581;0.193230;2.379736;2;0.283940;-0.097535;2.372110;2;0.311958;-0.322720;2.315403;2;0.325444;-0.390708;2.300589;2;-0.019747;-0.306442;2.369955;2;-0.084870;-0.680253;2.399312;2;-0.112164;-1.017211;2.405128;2;-0.131056;-1.078490;2.315356;2;0.133159;-0.307097;2.370178;2;0.168570;-0.693820;2.390066;2;0.184524;-1.019769;2.385048;2;0.185927;-1.082889;2.294467;2;0.055520;0.230889;2.401393;2;-0.164906;-0.385846;2.307243;2;-0.133205;-0.322952;2.302868;2;0.364868;-0.448288;2.280754;2;0.282917;-0.410192;2.271213;2
78417449;0.057655;-0.311563;2.406431;2;0.056462;0.001373;2.407720;2;0.055263;0.305689;2.396166;2;0.065850;0.440210;2.393989;2;-0.121296;0.198338;2.384607;2;-0.188794;-0.056196;2.393981;2;-0.183676;-0.274835;2.335678;2;-0.171677;-0.320321;2.327496;2;0.233636;0.193195;2.379716;2;0.283951;-0.097487;2.372083;2;0.311730;-0.323805;2.314911;2;0.326334;-0.390093;2.298354;2;-0.019667;-0.306522;2.370044;2;-0.084702;-0.681276;2.400267;2;-0.112078;-1.017140;2.405066;2;-0.131393;-1.078405;2.313902;2;0.133278;-0.307274;2.370467;2;0.168472;-0.694029;2.390276;2;0.184452;-1.019579;2.385124;2;0.186070;-1.082772;2.294652;2;0.055576;0.230798;2.401352;2;-0.167422;-0.386159;2.309147;2;-0.133968;-0.319061;2.303217;2;0.352414;-0.445974;2.276671;2;0.289707;-0.418223;2.274445;2
78417484;0.057340;-0.311674;2.408569;2;0.056377;0.001359;2.408901;2;0.055273;0.305723;2.396552;2;0.066059;0.440049;2.394118;2;-0.121110;0.198513;2.385482;2;-0.188342;-0.054319;2.397588;2;-0.184843;-0.272795;2.338388;2;-0.172958;-0.319227;2.333213;2;0.233878;0.192851;2.380069;2;0.283982;-0.097484;2.372598;2;0.311435;-0.323737;2.315203;2;0.326462;-0.390350;2.303022;2;-0.019990;-0.306688;2.372297;2;-0.085008;-0.681027;2.401818;2;-0.111765;-1.016866;2.405615;2;-0.131233;-1.079782;2.318157;2;0.132977;-0.307325;2.372428;2;0.168344;-0.694152;2.391696;2;0.183753;-1.019430;2.386838;2;0.185281;-1.083573;2.297630;2;0.055574;0.230825;2.401910;2;-0.168118;-0.388475;2.317890;2;-0.130835;-0.314334;2.318600;2;0.357663;-0.448408;2.292840;2;0.289108;-0.413307;2.282889;2
78417517;0.057092;-0.311696;2.408978;2;0.056334;0.001311;2.409045;2;0.055299;0.305679;2.396555;2;0.066160;0.440052;2.394101;2;-0.121073;0.198620;2.385573;2;-0.188426;-0.054311;2.397802;2;-0.185577;-0.272924;2.339202;2;-0.172476;-0.319062;2.332176;2;0.233900;0.192769;2.379892;2;0.283882;-0.097607;2.372521;2;0.311255;-0.323876;2.314677;2;0.325184;-0.389465;2.295028;2;-0.020188;-0.306685;2.372568;2;-0.084891;-0.680901;2.402068;2;-0.111796;-1.017074;2.405772;2;-0.130851;-1.079032;2.316171;2;0.132682;-0.307377;2.372986;2;0.168315;-0.694236;2.391904;2;0.183860;-1.019687;2.386938;2;0.185286;-1.083589;2.297395;2;0.055588;0.230786;2.401935;2;-0.164931;-0.387044;2.316562;2;-0.129008;-0.309601;2.321334;2;0.364675;-0.447197;2.272077;2;0.283417;-0.408973;2.266548;2
