Time;SpineBase_X;SpineBase_Y;SpineBase_Z;SpineBase_State;SpineMid_X;SpineMid_Y;SpineMid_Z;SpineMid_State;Neck_X;Neck_Y;Neck_Z;Neck_State;Head_X;Head_Y;Head_Z;Head_State;ShoulderLeft_X;ShoulderLeft_Y;ShoulderLeft_Z;ShoulderLeft_State;ElbowLeft_X;ElbowLeft_Y;ElbowLeft_Z;ElbowLeft_State;WristLeft_X;WristLeft_Y;WristLeft_Z;WristLeft_State;HandLeft_X;HandLeft_Y;HandLeft_Z;HandLeft_State;ShoulderRight_X;ShoulderRight_Y;ShoulderRight_Z;ShoulderRight_State;ElbowRight_X;ElbowRight_Y;ElbowRight_Z;ElbowRight_State;WristRight_X;WristRight_Y;WristRight_Z;WristRight_State;HandRight_X;HandRight_Y;HandRight_Z;HandRight_State;HipLeft_X;HipLeft_Y;HipLeft_Z;HipLeft_State;KneeLeft_X;KneeLeft_Y;KneeLeft_Z;KneeLeft_State;AnkleLeft_X;AnkleLeft_Y;AnkleLeft_Z;AnkleLeft_State;FootLeft_X;FootLeft_Y;FootLeft_Z;FootLeft_State;HipRight_X;HipRight_Y;HipRight_Z;HipRight_State;KneeRight_X;KneeRight_Y;KneeRight_Z;KneeRight_State;AnkleRight_X;AnkleRight_Y;AnkleRight_Z;AnkleRight_State;FootRight_X;FootRight_Y;FootRight_Z;FootRight_State;SpineShoulder_X;SpineShoulder_Y;SpineShoulder_Z;SpineShoulder_State;HandTipLeft_X;HandTipLeft_Y;HandTipLeft_Z;HandTipLeft_State;ThumbLeft_X;ThumbLeft_Y;ThumbLeft_Z;ThumbLeft_State;HandTipRight_X;HandTipRight_Y;HandTipRight_Z;HandTipRight_State;ThumbRight_X;ThumbRight_Y;ThumbRight_Z;ThumbRight_State
78485218;0.055903;-0.314246;2.499346;2;0.053286;-0.000049;2.505876;2;0.049993;0.305197;2.498437;2;0.060196;0.435697;2.491631;2;-0.120141;0.193554;2.470001;2;-0.181579;-0.048123;2.456429;2;-0.170855;-0.263107;2.390861;2;-0.153241;-0.319195;2.381561;2;0.230224;0.193562;2.496723;2;0.309003;-0.074180;2.538939;2;0.377391;-0.273480;2.475341;2;0.381503;-0.305653;2.463578;2;-0.025791;-0.311572;2.459985;2;-0.078939;-0.673063;2.500362;2;-0.101701;-1.013022;2.510296;2;-0.108633;-1.065304;2.432042;2;0.135773;-0.307625;2.464818;2;0.139094;-0.679679;2.494432;2;0.150256;-1.019345;2.498214;2;0.144349;-1.073865;2.417290;2;0.050865;0.230101;2.502687;2;-0.139951;-0.390330;2.368309;2;-0.198220;-0.331781;2.385134;2;0.384032;-0.367794;2.439944;2;0.412630;-0.271410;2.454667;2
78485250;0.055313;-0.314095;2.499258;2;0.052354;-0.000002;2.505450;2;0.048740;0.305151;2.497582;2;0.059488;0.435862;2.490768;2;-0.120611;0.193599;2.469594;2;-0.181919;-0.048149;2.456404;2;-0.171417;-0.262614;2.391128;2;-0.153050;-0.319568;2.382853;2;0.229573;0.194307;2.497855;2;0.316596;-0.070229;2.548240;2;0.398760;-0.266566;2.494239;2;0.405638;-0.297592;2.483822;2;-0.026334;-0.311449;2.459886;2;-0.079022;-0.673134;2.500209;2;-0.101970;-1.011924;2.510287;2;-0.107362;-1.064292;2.433619;2;0.135186;-0.307454;2.464740;2;0.139417;-0.680045;2.494167;2;0.150642;-1.019719;2.497776;2;0.144627;-1.074213;2.416948;2;0.049697;0.230072;2.501956;2;-0.137151;-0.390877;2.371292;2;-0.198826;-0.334105;2.386094;2;0.423467;-0.357642;2.458351;2;0.438423;-0.279608;2.477381;2
78485282;0.055256;-0.314052;2.499268;2;0.052171;0.000088;2.505377;2;0.048409;0.305337;2.497386;2;0.059034;0.435963;2.490164;2;-0.121289;0.193240;2.468384;2;-0.182516;-0.048312;2.456592;2;-0.172232;-0.262113;2.392557;2;-0.154492;-0.319593;2.385726;2;0.229222;0.194814;2.500471;2;0.327000;-0.061795;2.560928;2;0.423587;-0.253742;2.519145;2;0.431467;-0.284649;2.506223;2;-0.026380;-0.311437;2.459815;2;-0.079152;-0.674229;2.500752;2;-0.102026;-1.012820;2.510538;2;-0.107647;-1.068266;2.429690;2;0.135064;-0.307316;2.464889;2;0.139562;-0.680023;2.494024;2;0.151063;-1.020128;2.497842;2;0.144766;-1.074830;2.415877;2;0.049406;0.230226;2.501797;2;-0.143735;-0.391875;2.375841;2;-0.198509;-0.334100;2.384979;2;0.451564;-0.349245;2.484267;2;0.457774;-0.239678;2.509546;2
78485317;0.054701;-0.313525;2.499294;2;0.051434;0.000500;2.505108;2;0.047489;0.305689;2.496801;2;0.058596;0.436078;2.490031;2;-0.122002;0.193544;2.467836;2;-0.182826;-0.047983;2.456735;2;-0.172715;-0.262325;2.393086;2;-0.155918;-0.318628;2.386906;2;0.227902;0.196503;2.502588;2;0.335371;-0.058235;2.571433;2;0.446048;-0.243810;2.540359;2;0.459760;-0.269273;2.529618;2;-0.026923;-0.310842;2.459574;2;-0.079466;-0.673662;2.500648;2;-0.102025;-1.012362;2.510700;2;-0.107895;-1.065446;2.431758;2;0.134487;-0.306833;2.465165;2;0.139699;-0.679746;2.493848;2;0.150753;-1.019987;2.498069;2;0.143921;-1.073901;2.416561;2;0.048535;0.230588;2.501300;2;-0.139444;-0.391265;2.371631;2;-0.200718;-0.322967;2.384357;2;0.488915;-0.332180;2.518503;2;0.488214;-0.243968;2.526937;2
78485348;0.054607;-0.313372;2.499184;2;0.050868;0.000576;2.504667;2;0.046142;0.305553;2.495852;2;0.057626;0.436154;2.489217;2;-0.122722;0.193424;2.467046;2;-0.183619;-0.048675;2.456645;2;-0.173429;-0.263620;2.393769;2;-0.156484;-0.320361;2.385575;2;0.226919;0.197760;2.505982;2;0.348533;-0.051117;2.583255;2;0.476828;-0.225737;2.562264;2;0.487240;-0.249279;2.551178;2;-0.026986;-0.310700;2.459296;2;-0.079657;-0.671889;2.499707;2;-0.102023;-1.012337;2.510748;2;-0.107623;-1.063817;2.434052;2;0.134362;-0.306645;2.465162;2;0.140041;-0.679743;2.493451;2;0.150806;-1.019730;2.497947;2;0.143297;-1.072825;2.417116;2;0.047407;0.230514;2.500493;2;-0.141907;-0.396850;2.373341;2;-0.202954;-0.323308;2.381228;2;0.519675;-0.308621;2.538143;2;0.506555;-0.212854;2.543750;2
78485382;0.054456;-0.313205;2.499217;2;0.050301;0.000686;2.504298;2;0.044951;0.305534;2.494723;2;0.056689;0.436213;2.487641;2;-0.123248;0.193568;2.465505;2;-0.185662;-0.050382;2.456521;2;-0.174331;-0.263794;2.394212;2;-0.157991;-0.321540;2.387341;2;0.225881;0.200025;2.510921;2;0.364330;-0.040070;2.597572;2;0.505228;-0.204752;2.582718;2;0.517885;-0.221759;2.574239;2;-0.027047;-0.310560;2.459229;2;-0.080005;-0.671439;2.499507;2;-0.102021;-1.012733;2.511407;2;-0.107034;-1.065195;2.433247;2;0.134072;-0.306430;2.465356;2;0.140152;-0.679789;2.493471;2;0.150730;-1.020018;2.498401;2;0.142883;-1.072508;2.417716;2;0.046380;0.230532;2.499585;2;-0.145864;-0.395358;2.377549;2;-0.202239;-0.328853;2.384498;2;0.557238;-0.277092;2.557843;2;0.553794;-0.232286;2.551231;2
78485416;0.053816;-0.312520;2.499316;2;0.048794;0.001453;2.503402;2;0.042327;0.306459;2.492275;2;0.055989;0.436324;2.486317;2;-0.123995;0.193920;2.463009;2;-0.186977;-0.050782;2.456452;2;-0.175696;-0.263682;2.394331;2;-0.159302;-0.320039;2.388149;2;0.225624;0.202867;2.516503;2;0.380354;-0.018871;2.611895;2;0.541290;-0.163287;2.611636;2;0.555740;-0.185819;2.598155;2;-0.027450;-0.309923;2.458750;2;-0.080391;-0.673576;2.499971;2;-0.101895;-1.014498;2.510369;2;-0.108555;-1.068485;2.427677;2;0.132953;-0.305497;2.466275;2;0.140395;-0.679220;2.493298;2;0.150843;-1.019300;2.497882;2;0.143219;-1.072470;2.416528;2;0.044042;0.231413;2.497574;2;-0.146852;-0.393269;2.381217;2;-0.197382;-0.358780;2.382800;2;0.597501;-0.237486;2.588812;2;0.606619;-0.203566;2.593000;2
78485449;0.053189;-0.311812;2.499269;2;0.047951;0.001882;2.502933;2;0.041480;0.306642;2.491587;2;0.055213;0.436097;2.485514;2;-0.124803;0.194766;2.460627;2;-0.188345;-0.050850;2.455704;2;-0.177887;-0.263614;2.394870;2;-0.162236;-0.321813;2.388729;2;0.225388;0.204763;2.519886;2;0.398309;-0.002722;2.622174;2;0.571256;-0.131762;2.626578;2;0.591681;-0.149475;2.618201;2;-0.027809;-0.309292;2.458342;2;-0.080994;-0.672922;2.499686;2;-0.101756;-1.013806;2.510351;2;-0.108155;-1.068562;2.427682;2;0.132040;-0.304708;2.466614;2;0.140704;-0.677332;2.492638;2;0.150409;-1.016603;2.498016;2;0.142698;-1.069763;2.417850;2;0.043178;0.231654;2.496922;2;-0.146846;-0.396539;2.382976;2;-0.205593;-0.338080;2.378312;2;0.639154;-0.199612;2.612418;2;0.606125;-0.120687;2.601760;2
78485480;0.052516;-0.310967;2.499104;2;0.046831;0.002268;2.502421;2;0.039980;0.306562;2.490870;2;0.054754;0.435986;2.484567;2;-0.125678;0.195183;2.459120;2;-0.189782;-0.051262;2.455075;2;-0.180177;-0.264374;2.395312;2;-0.166400;-0.324215;2.389679;2;0.225659;0.207553;2.525932;2;0.423815;0.034526;2.637023;2;0.598355;-0.090609;2.651118;2;0.618356;-0.101304;2.641360;2;-0.028400;-0.308066;2.457296;2;-0.081636;-0.672036;2.499095;2;-0.101895;-1.013402;2.510147;2;-0.107708;-1.065755;2.430447;2;0.131236;-0.304047;2.467069;2;0.140615;-0.676339;2.492541;2;0.150049;-1.013964;2.498574;2;0.141486;-1.066315;2.419547;2;0.041768;0.231694;2.496244;2;-0.158185;-0.398104;2.378607;2;-0.213223;-0.321625;2.379572;2;0.676636;-0.147760;2.638611;2;0.666370;-0.101326;2.638334;2
78485516;0.051982;-0.310217;2.498876;2;0.045545;0.003166;2.501472;2;0.037985;0.307596;2.489184;2;0.054062;0.436247;2.482643;2;-0.127121;0.195412;2.457852;2;-0.191023;-0.050476;2.454569;2;-0.183253;-0.264428;2.395698;2;-0.171874;-0.321092;2.388224;2;0.225685;0.209829;2.528759;2;0.429848;0.052362;2.640848;2;0.623194;-0.037747;2.663364;2;0.645202;-0.046276;2.653307;2;-0.028750;-0.307205;2.456472;2;-0.082026;-0.672106;2.498773;2;-0.102126;-1.013682;2.509975;2;-0.108390;-1.066987;2.427073;2;0.130548;-0.303375;2.467320;2;0.140646;-0.676268;2.492598;2;0.150019;-1.013955;2.498569;2;0.142948;-1.068792;2.416927;2;0.039941;0.232691;2.494738;2;-0.166051;-0.392389;2.374398;2;-0.222706;-0.306316;2.382178;2;0.706789;-0.082803;2.656816;2;0.688984;-0.041260;2.638364;2
