Time;SpineBase_X;SpineBase_Y;SpineBase_Z;SpineBase_State;SpineMid_X;SpineMid_Y;SpineMid_Z;SpineMid_State;Neck_X;Neck_Y;Neck_Z;Neck_State;Head_X;Head_Y;Head_Z;Head_State;ShoulderLeft_X;ShoulderLeft_Y;ShoulderLeft_Z;ShoulderLeft_State;ElbowLeft_X;ElbowLeft_Y;ElbowLeft_Z;ElbowLeft_State;WristLeft_X;WristLeft_Y;WristLeft_Z;WristLeft_State;HandLeft_X;HandLeft_Y;HandLeft_Z;HandLeft_State;ShoulderRight_X;ShoulderRight_Y;ShoulderRight_Z;ShoulderRight_State;ElbowRight_X;ElbowRight_Y;ElbowRight_Z;ElbowRight_State;WristRight_X;WristRight_Y;WristRight_Z;WristRight_State;HandRight_X;HandRight_Y;HandRight_Z;HandRight_State;HipLeft_X;HipLeft_Y;HipLeft_Z;HipLeft_State;KneeLeft_X;KneeLeft_Y;KneeLeft_Z;KneeLeft_State;AnkleLeft_X;AnkleLeft_Y;AnkleLeft_Z;AnkleLeft_State;FootLeft_X;FootLeft_Y;FootLeft_Z;FootLeft_State;HipRight_X;HipRight_Y;HipRight_Z;HipRight_State;KneeRight_X;KneeRight_Y;KneeRight_Z;KneeRight_State;AnkleRight_X;AnkleRight_Y;AnkleRight_Z;AnkleRight_State;FootRight_X;FootRight_Y;FootRight_Z;FootRight_State;SpineShoulder_X;SpineShoulder_Y;SpineShoulder_Z;SpineShoulder_State;HandTipLeft_X;HandTipLeft_Y;HandTipLeft_Z;HandTipLeft_State;ThumbLeft_X;ThumbLeft_Y;ThumbLeft_Z;ThumbLeft_State;HandTipRight_X;HandTipRight_Y;HandTipRight_Z;HandTipRight_State;ThumbRight_X;ThumbRight_Y;ThumbRight_Z;ThumbRight_State
78138415;-0.003973;-0.283705;2.552186;2;-0.005247;0.017775;2.566460;2;-0.005874;0.311631;2.568293;2;-0.002089;0.435774;2.556215;2;-0.181154;0.196653;2.529094;2;-0.222947;-0.037697;2.526570;2;-0.225644;-0.269443;2.463341;2;-0.216206;-0.320802;2.454997;2;0.193477;0.213898;2.551157;2;0.237711;-0.060967;2.541642;2;0.245159;-0.310232;2.470443;2;0.237752;-0.360581;2.455863;2;-0.086070;-0.278254;2.513297;2;-0.120784;-0.670985;2.542855;2;-0.117141;-1.011137;2.550641;2;-0.139270;-1.086564;2.453778;2;0.078281;-0.281441;2.521956;2;0.095328;-0.666491;2.530670;2;0.100879;-1.030706;2.531048;2;0.093074;-1.095813;2.430749;2;-0.005767;0.239188;2.570075;2;-0.204136;-0.401451;2.443735;2;-0.271603;-0.317294;2.457464;2;0.203465;-0.390801;2.348194;2;0.205227;-0.386552;2.337057;2
78138448;-0.003822;-0.283622;2.552301;2;-0.005159;0.017836;2.566449;2;-0.005823;0.311710;2.568151;2;-0.001763;0.435783;2.556110;2;-0.180819;0.197048;2.528656;2;-0.222603;-0.033769;2.525873;2;-0.225588;-0.269898;2.463374;2;-0.216096;-0.321235;2.455288;2;0.193646;0.213970;2.551127;2;0.237982;-0.060831;2.541803;2;0.245192;-0.310171;2.470406;2;0.238018;-0.361702;2.455204;2;-0.085879;-0.278188;2.513462;2;-0.120760;-0.670982;2.542876;2;-0.117155;-1.011514;2.550679;2;-0.139364;-1.086874;2.454085;2;0.078388;-0.281350;2.522016;2;0.095383;-0.666467;2.530650;2;0.101010;-1.030423;2.531252;2;0.093150;-1.095371;2.430773;2;-0.005706;0.239259;2.569978;2;-0.205177;-0.401059;2.444606;2;-0.269655;-0.329175;2.462316;2;0.207511;-0.390166;2.370030;2;0.205887;-0.383929;2.351500;2
78138482;-0.003719;-0.283519;2.552168;2;-0.004928;0.017920;2.566287;2;-0.005494;0.311757;2.567951;2;-0.001269;0.436010;2.555616;2;-0.180742;0.196866;2.528382;2;-0.222538;-0.036840;2.525915;2;-0.225309;-0.270689;2.463161;2;-0.216228;-0.321052;2.455758;2;0.193778;0.214079;2.551099;2;0.238244;-0.060858;2.541792;2;0.245471;-0.309988;2.470331;2;0.236767;-0.360602;2.452447;2;-0.085776;-0.278084;2.513282;2;-0.120710;-0.670818;2.543007;2;-0.117087;-1.011625;2.550593;2;-0.139330;-1.086876;2.453912;2;0.078490;-0.281247;2.521905;2;0.095510;-0.666406;2.530621;2;0.100799;-1.030676;2.531439;2;0.093169;-1.095408;2.430698;2;-0.005398;0.239318;2.569786;2;-0.205867;-0.400601;2.443285;2;-0.270556;-0.319508;2.457717;2;0.206442;-0.392839;2.372442;2;0.203168;-0.377867;2.349400;2
78138517;-0.003715;-0.283476;2.552166;2;-0.004883;0.017935;2.566107;2;-0.005405;0.311635;2.567217;2;-0.000897;0.435822;2.555087;2;-0.180589;0.197070;2.528301;2;-0.221858;-0.039759;2.525946;2;-0.226137;-0.265584;2.463337;2;-0.215764;-0.316820;2.456789;2;0.193950;0.214048;2.551194;2;0.238711;-0.060724;2.541974;2;0.245775;-0.310247;2.470057;2;0.240076;-0.357635;2.451562;2;-0.085776;-0.278036;2.513268;2;-0.120692;-0.670769;2.543012;2;-0.117067;-1.011374;2.550630;2;-0.139349;-1.086910;2.453951;2;0.078497;-0.281207;2.521909;2;0.095733;-0.666917;2.530564;2;0.100725;-1.030823;2.531102;2;0.093263;-1.095411;2.430190;2;-0.005315;0.239246;2.569227;2;-0.204287;-0.401745;2.445535;2;-0.270127;-0.313124;2.459661;2;0.207113;-0.393582;2.373665;2;0.208922;-0.374077;2.349500;2
78138549;-0.003642;-0.283448;2.552201;2;-0.004782;0.017940;2.566042;2;-0.005272;0.311606;2.566969;2;-0.000331;0.435684;2.554423;2;-0.180025;0.197136;2.527656;2;-0.222132;-0.034561;2.525977;2;-0.226771;-0.262965;2.463423;2;-0.217336;-0.316462;2.458925;2;0.194401;0.214199;2.551333;2;0.239304;-0.060610;2.542408;2;0.245910;-0.309813;2.469802;2;0.242913;-0.356011;2.449500;2;-0.085719;-0.278020;2.513252;2;-0.120346;-0.670731;2.543264;2;-0.116992;-1.011232;2.550356;2;-0.139435;-1.086697;2.454500;2;0.078598;-0.281157;2.522020;2;0.095817;-0.666944;2.530814;2;0.100765;-1.030800;2.531217;2;0.093345;-1.095333;2.430239;2;-0.005187;0.239227;2.569032;2;-0.204986;-0.400843;2.447074;2;-0.271843;-0.317389;2.461505;2;0.207703;-0.384561;2.336029;2;0.210437;-0.374234;2.331000;2
78138580;-0.003640;-0.283475;2.552201;2;-0.004624;0.017864;2.565935;2;-0.004826;0.311490;2.566647;2;0.000254;0.435435;2.553859;2;-0.179979;0.197230;2.527273;2;-0.222240;-0.032836;2.525625;2;-0.225926;-0.266399;2.463495;2;-0.216672;-0.317011;2.457965;2;0.194534;0.214225;2.551159;2;0.240456;-0.059981;2.542932;2;0.246304;-0.309211;2.468337;2;0.239640;-0.356308;2.439844;2;-0.085715;-0.278023;2.513246;2;-0.120355;-0.670729;2.543270;2;-0.116997;-1.011270;2.550378;2;-0.139436;-1.086700;2.454507;2;0.078589;-0.281250;2.522032;2;0.095849;-0.667029;2.530870;2;0.100662;-1.031259;2.531439;2;0.093187;-1.095971;2.430671;2;-0.004819;0.239119;2.568768;2;-0.205141;-0.400191;2.447536;2;-0.270607;-0.320052;2.458802;2;0.213367;-0.396357;2.374237;2;0.207655;-0.382906;2.357000;2
78138617;-0.003665;-0.283547;2.552191;2;-0.004576;0.017742;2.565758;2;-0.004690;0.311312;2.566163;2;0.000704;0.435280;2.553086;2;-0.179770;0.197482;2.527106;2;-0.222820;-0.031299;2.525347;2;-0.225659;-0.268265;2.463916;2;-0.216118;-0.320876;2.458961;2;0.194842;0.213780;2.550616;2;0.241858;-0.060884;2.543051;2;0.246666;-0.307356;2.466319;2;0.241895;-0.351038;2.432765;2;-0.085740;-0.278049;2.513225;2;-0.120357;-0.670751;2.543283;2;-0.117106;-1.011573;2.550079;2;-0.139430;-1.087774;2.455644;2;0.078564;-0.281398;2.522032;2;0.095852;-0.667023;2.530898;2;0.100665;-1.031308;2.531527;2;0.093076;-1.095774;2.430497;2;-0.004705;0.238952;2.568367;2;-0.202593;-0.400134;2.443787;2;-0.269977;-0.320236;2.458751;2;0.214089;-0.385920;2.353903;2;0.207694;-0.368688;2.335500;2
78138649;-0.003692;-0.283528;2.552184;2;-0.004459;0.017715;2.565493;2;-0.004218;0.311128;2.565290;2;0.001067;0.435294;2.552666;2;-0.179472;0.197634;2.526391;2;-0.222831;-0.031226;2.525293;2;-0.226674;-0.263378;2.464468;2;-0.216335;-0.316340;2.459460;2;0.195108;0.213608;2.550457;2;0.242490;-0.061079;2.542886;2;0.248292;-0.302168;2.459505;2;0.243050;-0.345421;2.421039;2;-0.085831;-0.277933;2.513057;2;-0.120349;-0.670614;2.543286;2;-0.117118;-1.011167;2.550174;2;-0.139271;-1.087040;2.455322;2;0.078531;-0.281407;2.522103;2;0.095796;-0.666972;2.530947;2;0.100485;-1.030941;2.531337;2;0.093112;-1.095603;2.430501;2;-0.004334;0.238818;2.567665;2;-0.210332;-0.395663;2.447982;2;-0.269824;-0.308273;2.459300;2;0.213279;-0.372378;2.338759;2;0.212343;-0.356346;2.317000;2
78138683;-0.003687;-0.283562;2.552206;2;-0.004443;0.017645;2.565414;2;-0.004251;0.311008;2.565042;2;0.001456;0.434884;2.552493;2;-0.179470;0.197640;2.526407;2;-0.222833;-0.039050;2.525586;2;-0.226248;-0.266271;2.465235;2;-0.217081;-0.318388;2.461987;2;0.195151;0.213593;2.550462;2;0.243152;-0.060265;2.543281;2;0.249272;-0.293215;2.452095;2;0.240346;-0.347623;2.392198;2;-0.085846;-0.277960;2.513105;2;-0.120423;-0.670611;2.543468;2;-0.117065;-1.011401;2.550238;2;-0.139421;-1.087740;2.455531;2;0.078558;-0.281460;2.522104;2;0.095783;-0.666930;2.531138;2;0.100474;-1.030931;2.531339;2;0.093694;-1.095297;2.430123;2;-0.004348;0.238708;2.567460;2;-0.203137;-0.401661;2.448965;2;-0.268754;-0.333065;2.465250;2;0.214280;-0.366498;2.317737;2;0.209224;-0.343156;2.305500;2
78138716;-0.003757;-0.283553;2.552282;2;-0.004444;0.017641;2.565412;2;-0.004238;0.310986;2.565010;2;0.002114;0.434781;2.551737;2;-0.179111;0.197647;2.525823;2;-0.222765;-0.035174;2.525713;2;-0.225851;-0.268605;2.465753;2;-0.216317;-0.320391;2.462138;2;0.195277;0.213495;2.550473;2;0.243483;-0.059618;2.543562;2;0.248935;-0.288655;2.446983;2;0.240472;-0.337585;2.386152;2;-0.085908;-0.277936;2.513091;2;-0.120498;-0.670557;2.543605;2;-0.117008;-1.011276;2.550284;2;-0.139565;-1.087804;2.455505;2;0.078452;-0.281485;2.522387;2;0.095764;-0.666951;2.531305;2;0.100378;-1.030838;2.531464;2;0.093626;-1.095249;2.430294;2;-0.004338;0.238692;2.567436;2;-0.206008;-0.401556;2.446597;2;-0.270016;-0.321111;2.462019;2;0.221310;-0.352486;2.312294;2;0.210216;-0.336606;2.310500;2
