Time;SpineBase_X;SpineBase_Y;SpineBase_Z;SpineBase_State;SpineMid_X;SpineMid_Y;SpineMid_Z;SpineMid_State;Neck_X;Neck_Y;Neck_Z;Neck_State;Head_X;Head_Y;Head_Z;Head_State;ShoulderLeft_X;ShoulderLeft_Y;ShoulderLeft_Z;ShoulderLeft_State;ElbowLeft_X;ElbowLeft_Y;ElbowLeft_Z;ElbowLeft_State;WristLeft_X;WristLeft_Y;WristLeft_Z;WristLeft_State;HandLeft_X;HandLeft_Y;HandLeft_Z;HandLeft_State;ShoulderRight_X;ShoulderRight_Y;ShoulderRight_Z;ShoulderRight_State;ElbowRight_X;ElbowRight_Y;ElbowRight_Z;ElbowRight_State;WristRight_X;WristRight_Y;WristRight_Z;WristRight_State;HandRight_X;HandRight_Y;HandRight_Z;HandRight_State;HipLeft_X;HipLeft_Y;HipLeft_Z;HipLeft_State;KneeLeft_X;KneeLeft_Y;KneeLeft_Z;KneeLeft_State;AnkleLeft_X;AnkleLeft_Y;AnkleLeft_Z;AnkleLeft_State;FootLeft_X;FootLeft_Y;FootLeft_Z;FootLeft_State;HipRight_X;HipRight_Y;HipRight_Z;HipRight_State;KneeRight_X;KneeRight_Y;KneeRight_Z;KneeRight_State;AnkleRight_X;AnkleRight_Y;AnkleRight_Z;AnkleRight_State;FootRight_X;FootRight_Y;FootRight_Z;FootRight_State;SpineShoulder_X;SpineShoulder_Y;SpineShoulder_Z;SpineShoulder_State;HandTipLeft_X;HandTipLeft_Y;HandTipLeft_Z;HandTipLeft_State;ThumbLeft_X;ThumbLeft_Y;ThumbLeft_Z;ThumbLeft_State;HandTipRight_X;HandTipRight_Y;HandTipRight_Z;HandTipRight_State;ThumbRight_X;ThumbRight_Y;ThumbRight_Z;ThumbRight_State
78201050;0.004439;-0.277156;2.557310;2;-0.001231;0.022376;2.558276;2;-0.006620;0.314737;2.546055;2;0.004721;0.433092;2.541726;2;-0.169290;0.204483;2.501898;2;-0.236705;-0.055921;2.487681;2;-0.234862;-0.266793;2.420373;2;-0.227272;-0.313817;2.406709;2;0.199114;0.256715;2.589395;2;0.427768;0.195190;2.630183;2;0.636020;0.177702;2.553454;2;0.705755;0.182636;2.527646;2;-0.074996;-0.273116;2.509869;2;-0.106587;-0.661558;2.561387;2;-0.120768;-1.011405;2.577395;2;-0.170504;-1.086364;2.467239;2;0.084040;-0.273601;2.535118;2;0.097570;-0.670609;2.547179;2;0.096088;-1.031794;2.542419;2;0.092620;-1.092548;2.437181;2;-0.005256;0.242657;2.551423;2;-0.204571;-0.398983;2.399826;2;-0.269827;-0.327825;2.417970;2;0.788543;0.177123;2.507316;2;0.698043;0.146186;2.463692;2
78201084;0.005410;-0.276330;2.556233;2;-0.001037;0.022894;2.556886;2;-0.007255;0.314955;2.544138;2;0.004421;0.433806;2.540821;2;-0.169175;0.204587;2.501186;2;-0.235584;-0.055893;2.485947;2;-0.234326;-0.266999;2.419507;2;-0.226496;-0.316958;2.404417;2;0.198929;0.259458;2.589904;2;0.431730;0.205149;2.633357;2;0.643348;0.203637;2.576265;2;0.728126;0.191284;2.533973;2;-0.073948;-0.272822;2.509045;2;-0.105736;-0.661159;2.560950;2;-0.120766;-1.011092;2.577327;2;-0.171556;-1.086621;2.468150;2;0.084844;-0.272122;2.533756;2;0.098225;-0.669062;2.546529;2;0.096028;-1.031648;2.542881;2;0.092075;-1.093240;2.438499;2;-0.005665;0.242960;2.549656;2;-0.202691;-0.400953;2.405776;2;-0.268327;-0.317371;2.411923;2;0.819436;0.182125;2.530402;2;0.710362;0.155424;2.473000;2
78201116;0.006420;-0.275237;2.555091;2;-0.000814;0.023875;2.555310;2;-0.007886;0.315839;2.542079;2;0.004656;0.434883;2.539279;2;-0.168774;0.204860;2.500076;2;-0.234660;-0.055706;2.484205;2;-0.233917;-0.267010;2.418515;2;-0.225829;-0.316288;2.401951;2;0.199037;0.261634;2.590250;2;0.434744;0.209218;2.634498;2;0.644456;0.204863;2.569449;2;0.723180;0.202942;2.542113;2;-0.072683;-0.271698;2.508114;2;-0.105189;-0.659862;2.560561;2;-0.120709;-1.011214;2.577284;2;-0.171142;-1.086672;2.469621;2;0.085523;-0.271143;2.532489;2;0.098373;-0.667962;2.546380;2;0.095948;-1.032509;2.542917;2;0.091767;-1.093714;2.438164;2;-0.006077;0.243871;2.547718;2;-0.202747;-0.399909;2.401426;2;-0.268525;-0.332192;2.415250;2;0.809934;0.197372;2.533493;2;0.716405;0.162696;2.473600;2
78201150;0.007760;-0.274161;2.553729;2;-0.000615;0.024447;2.553776;2;-0.008737;0.315991;2.540129;2;0.004453;0.435502;2.538405;2;-0.168120;0.205146;2.498655;2;-0.233147;-0.053599;2.482458;2;-0.232989;-0.264582;2.415512;2;-0.224175;-0.315792;2.398744;2;0.199618;0.263994;2.590536;2;0.435044;0.218402;2.635532;2;0.646197;0.214590;2.576475;2;0.731722;0.212554;2.545001;2;-0.071055;-0.270794;2.506516;2;-0.104744;-0.658610;2.560025;2;-0.120683;-1.011207;2.577264;2;-0.171135;-1.086516;2.469684;2;0.086511;-0.269993;2.531405;2;0.098588;-0.666761;2.545975;2;0.095982;-1.032789;2.542936;2;0.091822;-1.093729;2.437920;2;-0.006647;0.244135;2.545894;2;-0.199410;-0.399746;2.400427;2;-0.270674;-0.311792;2.414789;2;0.823272;0.211530;2.539750;2;0.720786;0.170104;2.484182;2
78201182;0.009032;-0.272886;2.552380;2;0.000030;0.025397;2.552049;2;-0.008677;0.316550;2.538262;2;0.004289;0.436162;2.536647;2;-0.167899;0.205355;2.497175;2;-0.232779;-0.052906;2.479869;2;-0.231799;-0.263791;2.412534;2;-0.223373;-0.313088;2.392678;2;0.199906;0.265672;2.590364;2;0.435337;0.228417;2.634402;2;0.647173;0.220084;2.579033;2;0.738290;0.223929;2.547195;2;-0.069747;-0.269872;2.505318;2;-0.103974;-0.657565;2.559198;2;-0.120361;-1.010136;2.577158;2;-0.171076;-1.086408;2.469890;2;0.087653;-0.268397;2.529946;2;0.099058;-0.665047;2.545666;2;0.095883;-1.032698;2.543072;2;0.091434;-1.093940;2.438370;2;-0.006463;0.244791;2.544042;2;-0.200405;-0.391546;2.384781;2;-0.263400;-0.330631;2.408762;2;0.825659;0.223720;2.544650;2;0.716356;0.184799;2.488933;2
78201217;0.009659;-0.272202;2.551020;2;0.000337;0.026111;2.549939;2;-0.008819;0.317148;2.535551;2;0.003754;0.437659;2.535676;2;-0.167556;0.205605;2.494744;2;-0.232126;-0.050229;2.477595;2;-0.230474;-0.260976;2.409706;2;-0.222253;-0.309320;2.388073;2;0.199979;0.266974;2.589552;2;0.435741;0.231484;2.633556;2;0.648048;0.224507;2.580341;2;0.736995;0.230701;2.548196;2;-0.069150;-0.269575;2.503965;2;-0.103588;-0.657046;2.558677;2;-0.120389;-1.010158;2.577141;2;-0.170686;-1.086304;2.467478;2;0.088284;-0.267305;2.528583;2;0.099266;-0.663810;2.545496;2;0.095852;-1.032781;2.543182;2;0.091425;-1.094102;2.438559;2;-0.006500;0.245426;2.541458;2;-0.198477;-0.389098;2.381170;2;-0.266793;-0.325569;2.409963;2;0.835330;0.233316;2.553065;2;0.728673;0.186949;2.474250;2
78201250;0.010285;-0.271875;2.550325;2;0.000754;0.026851;2.548081;2;-0.008883;0.318416;2.532119;2;0.003908;0.439719;2.533942;2;-0.167136;0.205989;2.493202;2;-0.231733;-0.047164;2.475329;2;-0.229184;-0.257761;2.406863;2;-0.221709;-0.308630;2.384112;2;0.200508;0.269002;2.589161;2;0.435672;0.234372;2.632949;2;0.648160;0.228055;2.580592;2;0.732517;0.235202;2.544975;2;-0.068590;-0.269344;2.503513;2;-0.103246;-0.656755;2.558405;2;-0.120401;-1.010125;2.577123;2;-0.170205;-1.086169;2.467410;2;0.088931;-0.266898;2.527630;2;0.099473;-0.663256;2.545648;2;0.095949;-1.033219;2.543372;2;0.091401;-1.094411;2.438630;2;-0.006432;0.246552;2.538444;2;-0.197489;-0.390613;2.381532;2;-0.264907;-0.316651;2.396950;2;0.826459;0.238509;2.544617;2;0.725215;0.192815;2.482733;2
78201281;0.011038;-0.271325;2.549507;2;0.001070;0.027235;2.547042;2;-0.008923;0.318591;2.531033;2;0.003867;0.439718;2.532443;2;-0.166642;0.206151;2.491536;2;-0.230921;-0.044783;2.472670;2;-0.228204;-0.255237;2.403660;2;-0.220869;-0.309610;2.379485;2;0.201082;0.270718;2.588050;2;0.435408;0.237932;2.631329;2;0.647991;0.230339;2.579673;2;0.733176;0.235857;2.540660;2;-0.067828;-0.269037;2.502598;2;-0.103107;-0.656207;2.558239;2;-0.120403;-1.010094;2.577108;2;-0.170214;-1.086488;2.468029;2;0.089652;-0.266125;2.526921;2;0.099586;-0.662439;2.545433;2;0.095646;-1.033491;2.543354;2;0.091504;-1.094558;2.438473;2;-0.006396;0.246780;2.537356;2;-0.196976;-0.396790;2.386528;2;-0.267031;-0.313426;2.394818;2;0.832176;0.239317;2.543463;2;0.728308;0.188433;2.460834;2
78201318;0.011315;-0.270915;2.548729;2;0.001232;0.027665;2.545852;2;-0.008877;0.318929;2.529653;2;0.003841;0.440432;2.531856;2;-0.166364;0.206834;2.489711;2;-0.230238;-0.043350;2.469847;2;-0.227852;-0.253578;2.399992;2;-0.220568;-0.306421;2.373150;2;0.200986;0.272146;2.586845;2;0.435471;0.239921;2.630459;2;0.647900;0.232329;2.577991;2;0.732066;0.236597;2.537560;2;-0.067649;-0.268835;2.502449;2;-0.102688;-0.656034;2.558078;2;-0.120398;-1.008278;2.577378;2;-0.168993;-1.085810;2.469310;2;0.089991;-0.265458;2.525007;2;0.099716;-0.661524;2.545213;2;0.096650;-1.032126;2.542573;2;0.091710;-1.094040;2.438574;2;-0.006329;0.247146;2.536003;2;-0.197345;-0.387677;2.367699;2;-0.262655;-0.313082;2.383560;2;0.829426;0.238526;2.535063;2;0.724234;0.194835;2.470534;2
78201349;0.011748;-0.270562;2.548013;2;0.001275;0.027935;2.544717;2;-0.009302;0.319052;2.528061;2;0.003394;0.440272;2.529601;2;-0.165935;0.207042;2.487118;2;-0.230195;-0.040583;2.466152;2;-0.226945;-0.250883;2.396523;2;-0.219292;-0.306607;2.370362;2;0.200923;0.272695;2.585748;2;0.436033;0.240726;2.628564;2;0.648257;0.233502;2.575003;2;0.731568;0.233478;2.530525;2;-0.066873;-0.268326;2.501247;2;-0.102021;-0.655335;2.557619;2;-0.120400;-1.008115;2.577177;2;-0.168990;-1.085819;2.469534;2;0.090146;-0.265283;2.524749;2;0.099779;-0.661328;2.545119;2;0.097301;-1.031360;2.541725;2;0.092045;-1.093163;2.437623;2;-0.006634;0.247313;2.534525;2;-0.197619;-0.387857;2.364840;2;-0.258082;-0.328112;2.380118;2;0.829046;0.237250;2.531607;2;0.723216;0.186880;2.459778;2
