Time;SpineBase_X;SpineBase_Y;SpineBase_Z;SpineBase_State;SpineMid_X;SpineMid_Y;SpineMid_Z;SpineMid_State;Neck_X;Neck_Y;Neck_Z;Neck_State;Head_X;Head_Y;Head_Z;Head_State;ShoulderLeft_X;ShoulderLeft_Y;ShoulderLeft_Z;ShoulderLeft_State;ElbowLeft_X;ElbowLeft_Y;ElbowLeft_Z;ElbowLeft_State;WristLeft_X;WristLeft_Y;WristLeft_Z;WristLeft_State;HandLeft_X;HandLeft_Y;HandLeft_Z;HandLeft_State;ShoulderRight_X;ShoulderRight_Y;ShoulderRight_Z;ShoulderRight_State;ElbowRight_X;ElbowRight_Y;ElbowRight_Z;ElbowRight_State;WristRight_X;WristRight_Y;WristRight_Z;WristRight_State;HandRight_X;HandRight_Y;HandRight_Z;HandRight_State;HipLeft_X;HipLeft_Y;HipLeft_Z;HipLeft_State;KneeLeft_X;KneeLeft_Y;KneeLeft_Z;KneeLeft_State;AnkleLeft_X;AnkleLeft_Y;AnkleLeft_Z;AnkleLeft_State;FootLeft_X;FootLeft_Y;FootLeft_Z;FootLeft_State;HipRight_X;HipRight_Y;HipRight_Z;HipRight_State;KneeRight_X;KneeRight_Y;KneeRight_Z;KneeRight_State;AnkleRight_X;AnkleRight_Y;AnkleRight_Z;AnkleRight_State;FootRight_X;FootRight_Y;FootRight_Z;FootRight_State;SpineShoulder_X;SpineShoulder_Y;SpineShoulder_Z;SpineShoulder_State;HandTipLeft_X;HandTipLeft_Y;HandTipLeft_Z;HandTipLeft_State;ThumbLeft_X;ThumbLeft_Y;ThumbLeft_Z;ThumbLeft_State;HandTipRight_X;HandTipRight_Y;HandTipRight_Z;HandTipRight_State;ThumbRight_X;ThumbRight_Y;ThumbRight_Z;ThumbRight_State
51644591;0.091287;-0.495651;2.286879;2;0.103733;-0.173033;2.347725;2;0.115559;0.140299;2.393101;2;0.134688;0.293796;2.395271;2;-0.059061;0.021729;2.374508;2;-0.109176;-0.239941;2.337186;2;-0.134214;-0.442840;2.240502;2;-0.120473;-0.482031;2.229490;2;0.286677;0.010282;2.367832;2;0.322984;-0.259135;2.342122;2;0.314618;-0.465775;2.251522;2;0.293163;-0.532336;2.220703;2;0.009846;-0.483384;2.244093;2;-0.040781;-0.850055;2.224888;2;-0.051048;-1.183623;2.246874;2;-0.065659;-1.263059;2.174314;1;0.169712;-0.491345;2.252865;2;0.183481;-0.854433;2.223971;2;0.196392;-1.189856;2.240869;2;0.188228;-1.269611;2.166749;1;0.112750;0.063129;2.384398;2;-0.116909;-0.567253;2.200175;2;-0.069765;-0.462267;2.195143;2;0.285645;-0.598183;2.204865;2;0.252847;-0.517168;2.183957;2
51644623;0.091420;-0.495658;2.286682;2;0.103825;-0.173035;2.347504;2;0.115585;0.140310;2.392853;2;0.134674;0.293696;2.394515;2;-0.058983;0.021453;2.374279;2;-0.109019;-0.239937;2.337035;2;-0.134081;-0.442869;2.240439;2;-0.120381;-0.482013;2.229070;2;0.286854;0.010497;2.367408;2;0.323376;-0.259372;2.341718;2;0.314722;-0.466000;2.251114;2;0.293094;-0.532311;2.221177;2;0.009961;-0.483397;2.243942;2;-0.040724;-0.850002;2.224906;2;-0.051054;-1.183968;2.246859;2;-0.065532;-1.263305;2.174022;1;0.169849;-0.491338;2.252630;2;0.183456;-0.854218;2.223923;2;0.196507;-1.189721;2.240987;2;0.188302;-1.269438;2.166785;1;0.112793;0.063136;2.384157;2;-0.116888;-0.567144;2.200296;2;-0.072490;-0.474202;2.193933;2;0.285686;-0.598284;2.205240;2;0.252828;-0.516883;2.183347;2
51644655;0.091557;-0.495654;2.286391;2;0.103955;-0.172990;2.347091;2;0.115662;0.140418;2.392294;2;0.134585;0.293561;2.393919;2;-0.058956;0.021368;2.374137;2;-0.108884;-0.240126;2.336874;2;-0.134016;-0.442995;2.240149;2;-0.120315;-0.482617;2.228810;2;0.286983;0.010584;2.366729;2;0.323546;-0.259347;2.341461;2;0.314840;-0.465954;2.250808;2;0.293121;-0.532092;2.220008;2;0.010090;-0.483395;2.243687;2;-0.040467;-0.847498;2.224586;2;-0.050616;-1.182306;2.246845;2;-0.067070;-1.260798;2.172704;1;0.169980;-0.491328;2.252319;2;0.183478;-0.853977;2.223712;2;0.196514;-1.189743;2.240980;2;0.188603;-1.269272;2.166302;1;0.112886;0.063228;2.383636;2;-0.115898;-0.567319;2.200511;2;-0.071483;-0.474319;2.193500;2;0.285536;-0.597944;2.203990;2;0.254479;-0.514330;2.184588;2
51644690;0.091608;-0.495671;2.286263;2;0.103971;-0.172994;2.346837;2;0.115587;0.140445;2.391853;2;0.134495;0.293586;2.393618;2;-0.058968;0.021329;2.374022;2;-0.108788;-0.240198;2.336872;2;-0.133980;-0.443044;2.240112;2;-0.120291;-0.481663;2.229592;2;0.287031;0.010572;2.366211;2;0.323799;-0.259364;2.341207;2;0.314974;-0.466003;2.250648;2;0.292992;-0.531611;2.220601;2;0.010132;-0.483419;2.243577;2;-0.040326;-0.847685;2.224637;2;-0.050607;-1.182386;2.246739;2;-0.066494;-1.261217;2.173193;1;0.170035;-0.491332;2.252180;2;0.183507;-0.853934;2.223696;2;0.196769;-1.189482;2.241131;2;0.188504;-1.269129;2.166779;1;0.112839;0.063246;2.383247;2;-0.116043;-0.568043;2.203329;2;-0.072234;-0.467254;2.195372;2;0.282763;-0.598136;2.203741;2;0.252516;-0.517478;2.181917;2
51644722;0.091680;-0.495625;2.286011;2;0.103998;-0.172967;2.346532;2;0.115542;0.140456;2.391494;2;0.134273;0.293610;2.392766;2;-0.058803;0.021416;2.373870;2;-0.108699;-0.240213;2.336768;2;-0.133667;-0.442967;2.239719;2;-0.119878;-0.482739;2.228610;2;0.287097;0.010748;2.365762;2;0.323949;-0.259309;2.340738;2;0.315237;-0.465913;2.250075;2;0.293136;-0.532138;2.220155;2;0.010162;-0.483422;2.243466;2;-0.039892;-0.844307;2.223824;2;-0.050546;-1.182409;2.246645;2;-0.068124;-1.260438;2.171930;1;0.170157;-0.491200;2.251739;2;0.183497;-0.853870;2.223679;2;0.197077;-1.189679;2.241265;2;0.188751;-1.268619;2.165278;1;0.112813;0.063262;2.382901;2;-0.117596;-0.567375;2.201791;2;-0.071019;-0.470241;2.193939;2;0.285614;-0.598113;2.204614;2;0.253897;-0.516568;2.184639;2
51644755;0.091747;-0.495598;2.285914;2;0.104195;-0.172954;2.346303;2;0.115897;0.140442;2.391098;2;0.134259;0.293577;2.392340;2;-0.058620;0.021629;2.373705;2;-0.108375;-0.240300;2.336607;2;-0.133636;-0.443079;2.239705;2;-0.119664;-0.482388;2.229551;2;0.287043;0.010754;2.365419;2;0.324081;-0.259278;2.340595;2;0.315355;-0.465861;2.249878;2;0.293258;-0.532426;2.220576;2;0.010216;-0.483395;2.243420;2;-0.039899;-0.848676;2.224252;2;-0.050550;-1.182672;2.246499;2;-0.067253;-1.261055;2.172256;1;0.170233;-0.491178;2.251581;2;0.183553;-0.853824;2.223661;2;0.197055;-1.190004;2.241219;2;0.188516;-1.268954;2.165304;1;0.113125;0.063257;2.382549;2;-0.115807;-0.566920;2.198965;2;-0.070413;-0.472954;2.193180;2;0.286083;-0.599098;2.208239;2;0.254444;-0.514392;2.184366;2
51644789;0.091714;-0.495550;2.285594;2;0.104200;-0.172953;2.346017;2;0.115917;0.140408;2.390854;2;0.134269;0.293460;2.391324;2;-0.058323;0.021831;2.373310;2;-0.108097;-0.240237;2.336471;2;-0.133455;-0.442987;2.239530;2;-0.120039;-0.481890;2.227997;2;0.287062;0.010745;2.364764;2;0.324244;-0.259570;2.339273;2;0.315483;-0.466266;2.248860;2;0.292479;-0.531468;2.218422;2;0.010187;-0.483380;2.243222;2;-0.039816;-0.848657;2.224215;2;-0.050324;-1.182453;2.246519;2;-0.066930;-1.260923;2.172443;1;0.170193;-0.491083;2.251134;2;0.183620;-0.853333;2.223145;2;0.197261;-1.189569;2.240965;2;0.188190;-1.268821;2.165824;1;0.113142;0.063231;2.382293;2;-0.115136;-0.567196;2.198350;2;-0.071744;-0.467485;2.194881;2;0.282765;-0.598137;2.203740;2;0.253917;-0.516457;2.184113;2
51644822;0.091709;-0.495479;2.285345;2;0.104194;-0.172939;2.345632;2;0.115886;0.140347;2.390315;2;0.134230;0.293468;2.390580;2;-0.058271;0.021865;2.373247;2;-0.107968;-0.240257;2.336382;2;-0.133446;-0.442988;2.239430;2;-0.119659;-0.482447;2.228376;2;0.287189;0.010983;2.364197;2;0.324395;-0.259908;2.338731;2;0.315454;-0.466665;2.248501;2;0.293187;-0.531802;2.219417;2;0.010188;-0.483352;2.243160;2;-0.039757;-0.847104;2.224083;2;-0.050336;-1.182411;2.246242;2;-0.070104;-1.260154;2.171938;1;0.170172;-0.490958;2.250601;2;0.183620;-0.853328;2.223074;2;0.197173;-1.189714;2.240817;2;0.188245;-1.269252;2.166351;1;0.113119;0.063191;2.381792;2;-0.115816;-0.566919;2.198965;2;-0.071293;-0.470456;2.194589;2;0.288308;-0.592874;2.198942;2;0.254446;-0.516032;2.184789;2
51644854;0.091702;-0.495522;2.285186;2;0.104225;-0.172956;2.345180;2;0.115959;0.140411;2.389441;2;0.134182;0.293474;2.390005;2;-0.058280;0.021775;2.373178;2;-0.107843;-0.240250;2.336301;2;-0.133387;-0.442962;2.239324;2;-0.119669;-0.482145;2.227883;2;0.287259;0.010785;2.363340;2;0.324496;-0.259899;2.338366;2;0.315539;-0.466696;2.248243;2;0.292734;-0.532672;2.219526;2;0.010172;-0.483377;2.243060;2;-0.039759;-0.847142;2.224126;2;-0.050092;-1.183268;2.246040;2;-0.070359;-1.260854;2.171662;1;0.170174;-0.491018;2.250400;2;0.183615;-0.853322;2.223008;2;0.197210;-1.189833;2.240695;2;0.188245;-1.269383;2.166280;1;0.113180;0.063231;2.381034;2;-0.116738;-0.566902;2.200439;2;-0.071362;-0.471483;2.193659;2;0.283465;-0.598372;2.203596;2;0.254263;-0.515879;2.184819;2
51644888;0.091680;-0.495520;2.284990;2;0.104233;-0.172978;2.344922;2;0.115986;0.140366;2.389153;2;0.134099;0.293508;2.389703;2;-0.058258;0.021766;2.373135;2;-0.107740;-0.240315;2.336225;2;-0.133362;-0.443009;2.239229;2;-0.120436;-0.482767;2.228312;2;0.287340;0.010955;2.362688;2;0.324509;-0.259809;2.337166;2;0.315662;-0.466866;2.247726;2;0.292607;-0.531882;2.219192;2;0.010155;-0.483392;2.242934;2;-0.039763;-0.847400;2.224072;2;-0.050048;-1.183287;2.246061;2;-0.069308;-1.261328;2.172264;1;0.170147;-0.490994;2.250148;2;0.183242;-0.854695;2.222351;2;0.197348;-1.189075;2.240453;2;0.187469;-1.268713;2.166386;1;0.113203;0.063192;2.380750;2;-0.117563;-0.567280;2.201415;2;-0.071975;-0.468091;2.193889;2;0.285780;-0.598451;2.205863;2;0.253617;-0.516305;2.183625;2
