Time;SpineBase_X;SpineBase_Y;SpineBase_Z;SpineBase_State;SpineMid_X;SpineMid_Y;SpineMid_Z;SpineMid_State;Neck_X;Neck_Y;Neck_Z;Neck_State;Head_X;Head_Y;Head_Z;Head_State;ShoulderLeft_X;ShoulderLeft_Y;ShoulderLeft_Z;ShoulderLeft_State;ElbowLeft_X;ElbowLeft_Y;ElbowLeft_Z;ElbowLeft_State;WristLeft_X;WristLeft_Y;WristLeft_Z;WristLeft_State;HandLeft_X;HandLeft_Y;HandLeft_Z;HandLeft_State;ShoulderRight_X;ShoulderRight_Y;ShoulderRight_Z;ShoulderRight_State;ElbowRight_X;ElbowRight_Y;ElbowRight_Z;ElbowRight_State;WristRight_X;WristRight_Y;WristRight_Z;WristRight_State;HandRight_X;HandRight_Y;HandRight_Z;HandRight_State;HipLeft_X;HipLeft_Y;HipLeft_Z;HipLeft_State;KneeLeft_X;KneeLeft_Y;KneeLeft_Z;KneeLeft_State;AnkleLeft_X;AnkleLeft_Y;AnkleLeft_Z;AnkleLeft_State;FootLeft_X;FootLeft_Y;FootLeft_Z;FootLeft_State;HipRight_X;HipRight_Y;HipRight_Z;HipRight_State;KneeRight_X;KneeRight_Y;KneeRight_Z;KneeRight_State;AnkleRight_X;AnkleRight_Y;AnkleRight_Z;AnkleRight_State;FootRight_X;FootRight_Y;FootRight_Z;FootRight_State;SpineShoulder_X;SpineShoulder_Y;SpineShoulder_Z;SpineShoulder_State;HandTipLeft_X;HandTipLeft_Y;HandTipLeft_Z;HandTipLeft_State;ThumbLeft_X;ThumbLeft_Y;ThumbLeft_Z;ThumbLeft_State;HandTipRight_X;HandTipRight_Y;HandTipRight_Z;HandTipRight_State;ThumbRight_X;ThumbRight_Y;ThumbRight_Z;ThumbRight_State
51714355;0.089937;-0.472107;2.040468;2;0.087454;-0.192504;2.087738;2;0.084428;0.079934;2.121538;2;0.077885;0.228902;2.127646;2;-0.087961;-0.043252;2.102503;2;-0.119089;-0.282042;2.034456;2;-0.119155;-0.473152;1.952169;2;-0.106667;-0.521421;1.945003;2;0.247734;-0.032298;2.099011;2;0.301168;-0.275162;2.045971;2;0.300434;-0.470331;1.975669;2;0.286360;-0.491678;1.970242;2;0.012759;-0.466343;2.009943;2;-0.006338;-0.766021;1.992365;2;-0.026979;-1.022938;2.008870;2;-0.034765;-1.061752;1.887823;2;0.164187;-0.462860;2.006060;2;0.174521;-0.761084;1.983960;2;0.192253;-1.051572;2.009255;2;0.186228;-1.118696;1.941876;1;0.085276;0.012728;2.115355;2;-0.096080;-0.601253;1.928996;2;-0.147705;-0.513799;1.941762;2;0.278503;-0.560721;1.946862;2;0.322042;-0.477470;1.953000;2
51714389;0.089826;-0.471978;2.040036;2;0.087316;-0.192383;2.087208;2;0.084284;0.080034;2.120971;2;0.077848;0.228927;2.127628;2;-0.088002;-0.043219;2.102460;2;-0.119075;-0.282025;2.034228;2;-0.119341;-0.473080;1.951770;2;-0.106401;-0.521774;1.944746;2;0.247711;-0.032209;2.098334;2;0.301091;-0.275058;2.045564;2;0.300183;-0.470313;1.975508;2;0.285760;-0.492384;1.970058;2;0.012651;-0.466213;2.009543;2;-0.006460;-0.766089;1.992170;2;-0.026978;-1.023206;2.008757;2;-0.034919;-1.062024;1.887730;2;0.164085;-0.462738;2.005620;2;0.174534;-0.761234;1.983704;2;0.192249;-1.051708;2.009193;2;0.186118;-1.119441;1.943143;1;0.085131;0.012835;2.114793;2;-0.094364;-0.600836;1.925996;2;-0.144914;-0.527266;1.940313;2;0.276797;-0.560533;1.947015;2;0.319931;-0.484800;1.950362;2
51714422;0.089748;-0.471895;2.039631;2;0.087332;-0.192286;2.086921;2;0.084373;0.080139;2.120790;2;0.077710;0.229057;2.127190;2;-0.088089;-0.043166;2.101941;2;-0.118995;-0.282159;2.033689;2;-0.119402;-0.473239;1.951275;2;-0.106762;-0.521288;1.943129;2;0.247662;-0.031912;2.097749;2;0.300970;-0.275056;2.044846;2;0.300082;-0.470501;1.975387;2;0.286237;-0.492105;1.969538;2;0.012617;-0.466166;2.009182;2;-0.006414;-0.765966;1.991885;2;-0.026962;-1.022851;2.008435;2;-0.034962;-1.061669;1.887411;2;0.163967;-0.462617;2.005183;2;0.174430;-0.761304;1.983355;2;0.192136;-1.051953;2.009184;2;0.185760;-1.120722;1.945549;1;0.085202;0.012939;2.114590;2;-0.097528;-0.600251;1.926687;2;-0.146247;-0.524402;1.939829;2;0.278041;-0.559415;1.944264;2;0.321417;-0.477512;1.951841;2
51714456;0.089790;-0.471818;2.039258;2;0.087320;-0.192239;2.086784;2;0.084354;0.080160;2.120777;2;0.077578;0.229154;2.127055;2;-0.088103;-0.042945;2.101487;2;-0.119153;-0.282323;2.033227;2;-0.119436;-0.473470;1.950965;2;-0.107230;-0.521458;1.943342;2;0.247597;-0.031846;2.096904;2;0.300929;-0.274975;2.044291;2;0.300115;-0.470632;1.975505;2;0.286692;-0.492861;1.971874;2;0.012671;-0.466128;2.008888;2;-0.006468;-0.765639;1.991570;2;-0.026951;-1.022863;2.008434;2;-0.035051;-1.061820;1.887500;2;0.163995;-0.462494;2.004733;2;0.174376;-0.761363;1.983272;2;0.192094;-1.051486;2.009083;2;0.184974;-1.118476;1.941528;1;0.085183;0.012964;2.114558;2;-0.098526;-0.600254;1.925795;2;-0.147452;-0.520476;1.944387;2;0.280355;-0.561373;1.948575;2;0.323956;-0.475769;1.955600;2
51714489;0.089774;-0.471804;2.039022;2;0.087278;-0.192209;2.086439;2;0.084292;0.080205;2.120374;2;0.077354;0.229235;2.126910;2;-0.088193;-0.042898;2.101142;2;-0.119182;-0.282258;2.032885;2;-0.119539;-0.473353;1.950456;2;-0.107781;-0.521575;1.942573;2;0.247548;-0.031655;2.096586;2;0.300475;-0.275169;2.043309;2;0.300667;-0.471174;1.975703;2;0.289684;-0.492807;1.973701;2;0.012687;-0.466142;2.008803;2;-0.006487;-0.765612;1.991483;2;-0.026875;-1.023732;2.008293;2;-0.034919;-1.062611;1.887320;2;0.163921;-0.462421;2.004276;2;0.174383;-0.761239;1.982833;2;0.192137;-1.049753;2.008728;2;0.185090;-1.117546;1.942855;1;0.085125;0.013007;2.114164;2;-0.097306;-0.598917;1.922414;2;-0.148430;-0.532777;1.947333;2;0.284332;-0.565145;1.948766;2;0.323767;-0.480539;1.952717;2
51714522;0.089761;-0.471783;2.038562;2;0.087072;-0.192128;2.085976;2;0.083861;0.080356;2.119917;2;0.077198;0.229317;2.126589;2;-0.088204;-0.042841;2.100494;2;-0.119063;-0.282262;2.032424;2;-0.119554;-0.473321;1.949874;2;-0.107607;-0.521558;1.941830;2;0.247363;-0.031578;2.095511;2;0.300287;-0.274883;2.042940;2;0.300983;-0.471176;1.976316;2;0.290416;-0.495054;1.975894;2;0.012649;-0.466147;2.008402;2;-0.006645;-0.765692;1.991142;2;-0.026900;-1.023851;2.008101;2;-0.035041;-1.062783;1.887171;2;0.163944;-0.462375;2.003783;2;0.174227;-0.761226;1.982593;2;0.192107;-1.049614;2.008697;2;0.185505;-1.116728;1.941301;1;0.084754;0.013140;2.113704;2;-0.094315;-0.600494;1.924895;2;-0.144699;-0.532083;1.936158;2;0.290666;-0.567640;1.955106;2;0.324029;-0.501951;1.953611;2
51714556;0.089792;-0.471688;2.038390;2;0.087016;-0.192002;2.085725;2;0.083702;0.080515;2.119603;2;0.077180;0.229443;2.126562;2;-0.088336;-0.042733;2.100426;2;-0.119025;-0.282230;2.032202;2;-0.119512;-0.473267;1.949564;2;-0.107730;-0.521532;1.942387;2;0.247210;-0.031399;2.095099;2;0.300293;-0.275096;2.042348;2;0.301420;-0.471842;1.977331;2;0.291564;-0.496701;1.980322;2;0.012683;-0.466096;2.008301;2;-0.006573;-0.765534;1.991107;2;-0.026930;-1.023930;2.008020;2;-0.035199;-1.062805;1.887070;2;0.163970;-0.462232;2.003537;2;0.174159;-0.761241;1.982498;2;0.191923;-1.050454;2.008745;2;0.185455;-1.117522;1.941264;1;0.084621;0.013292;2.113404;2;-0.094277;-0.600309;1.924295;2;-0.146958;-0.542452;1.939286;2;0.294314;-0.568609;1.958058;2;0.325709;-0.487194;1.957695;2
51714590;0.089853;-0.471601;2.038109;2;0.087069;-0.191910;2.085447;2;0.083753;0.080601;2.119370;2;0.077078;0.229484;2.126487;2;-0.088404;-0.042658;2.100224;2;-0.119122;-0.282105;2.031845;2;-0.119492;-0.473211;1.949360;2;-0.107535;-0.521298;1.942124;2;0.247065;-0.031153;2.093871;2;0.300298;-0.274995;2.041898;2;0.302461;-0.472423;1.979446;2;0.292989;-0.497906;1.983223;2;0.012735;-0.466053;2.008154;2;-0.006662;-0.765504;1.990956;2;-0.026922;-1.024361;2.007865;2;-0.035477;-1.063180;1.886917;2;0.164039;-0.462095;2.003099;2;0.174033;-0.761195;1.982302;2;0.191995;-1.050746;2.008615;2;0.185536;-1.117749;1.941006;1;0.084672;0.013381;2.113157;2;-0.094971;-0.598825;1.921930;2;-0.146158;-0.525545;1.939021;2;0.297295;-0.571362;1.966913;2;0.327386;-0.510573;1.961273;2
51714622;0.089856;-0.471618;2.037665;2;0.087070;-0.191861;2.084948;2;0.083764;0.080717;2.118859;2;0.076952;0.229586;2.126404;2;-0.088541;-0.042657;2.099753;2;-0.119321;-0.282127;2.031181;2;-0.119582;-0.473183;1.948535;2;-0.107158;-0.521262;1.940565;2;0.246665;-0.031407;2.092371;2;0.300220;-0.274442;2.040475;2;0.303134;-0.472566;1.980777;2;0.294314;-0.501855;1.983181;2;0.012729;-0.466063;2.007787;2;-0.006879;-0.765548;1.990671;2;-0.027017;-1.024572;2.007832;2;-0.035832;-1.063465;1.886955;2;0.164060;-0.462121;2.002603;2;0.173930;-0.761223;1.982021;2;0.191932;-1.051819;2.008392;2;0.186145;-1.118938;1.941004;1;0.084679;0.013482;2.112646;2;-0.094943;-0.598649;1.921374;2;-0.146802;-0.530812;1.941344;2;0.303374;-0.572566;1.973286;2;0.330258;-0.485341;1.963200;2
51714655;0.089880;-0.471601;2.037389;2;0.087088;-0.191718;2.084708;2;0.083788;0.081017;2.118642;2;0.076835;0.229680;2.126385;2;-0.088631;-0.042666;2.099736;2;-0.119487;-0.282045;2.031115;2;-0.119709;-0.473071;1.948362;2;-0.107922;-0.521116;1.941467;2;0.246322;-0.031111;2.090725;2;0.299761;-0.273045;2.036554;2;0.303526;-0.472268;1.981586;2;0.297262;-0.503618;1.982362;2;0.012762;-0.466059;2.007668;2;-0.006998;-0.765413;1.990305;2;-0.027037;-1.023974;2.007432;2;-0.029417;-1.094340;1.946855;2;0.164061;-0.462088;2.002126;2;0.173933;-0.761218;1.981982;2;0.191743;-1.051836;2.008375;2;0.186152;-1.118930;1.940920;1;0.084700;0.013738;2.112423;2;-0.094989;-0.598928;1.922263;2;-0.144701;-0.532661;1.937026;2;0.305019;-0.575572;1.972185;2;0.339011;-0.526209;1.967889;2
