Time;SpineBase_X;SpineBase_Y;SpineBase_Z;SpineBase_State;SpineMid_X;SpineMid_Y;SpineMid_Z;SpineMid_State;Neck_X;Neck_Y;Neck_Z;Neck_State;Head_X;Head_Y;Head_Z;Head_State;ShoulderLeft_X;ShoulderLeft_Y;ShoulderLeft_Z;ShoulderLeft_State;ElbowLeft_X;ElbowLeft_Y;ElbowLeft_Z;ElbowLeft_State;WristLeft_X;WristLeft_Y;WristLeft_Z;WristLeft_State;HandLeft_X;HandLeft_Y;HandLeft_Z;HandLeft_State;ShoulderRight_X;ShoulderRight_Y;ShoulderRight_Z;ShoulderRight_State;ElbowRight_X;ElbowRight_Y;ElbowRight_Z;ElbowRight_State;WristRight_X;WristRight_Y;WristRight_Z;WristRight_State;HandRight_X;HandRight_Y;HandRight_Z;HandRight_State;HipLeft_X;HipLeft_Y;HipLeft_Z;HipLeft_State;KneeLeft_X;KneeLeft_Y;KneeLeft_Z;KneeLeft_State;AnkleLeft_X;AnkleLeft_Y;AnkleLeft_Z;AnkleLeft_State;FootLeft_X;FootLeft_Y;FootLeft_Z;FootLeft_State;HipRight_X;HipRight_Y;HipRight_Z;HipRight_State;KneeRight_X;KneeRight_Y;KneeRight_Z;KneeRight_State;AnkleRight_X;AnkleRight_Y;AnkleRight_Z;AnkleRight_State;FootRight_X;FootRight_Y;FootRight_Z;FootRight_State;SpineShoulder_X;SpineShoulder_Y;SpineShoulder_Z;SpineShoulder_State;HandTipLeft_X;HandTipLeft_Y;HandTipLeft_Z;HandTipLeft_State;ThumbLeft_X;ThumbLeft_Y;ThumbLeft_Z;ThumbLeft_State;HandTipRight_X;HandTipRight_Y;HandTipRight_Z;HandTipRight_State;ThumbRight_X;ThumbRight_Y;ThumbRight_Z;ThumbRight_State
48606466;-0.024536;-0.179317;2.056008;2;-0.017644;0.129330;2.076027;2;-0.007743;0.427079;2.082071;2;0.008208;0.564897;2.095508;2;-0.161040;0.303922;2.027343;2;-0.234711;0.040499;2.052826;2;-0.245149;-0.178571;1.999508;2;-0.232175;-0.213210;1.991966;2;0.143520;0.295480;2.069399;2;0.177661;0.032476;2.087526;2;0.171857;-0.186586;2.033225;2;0.159277;-0.250614;2.009265;2;-0.090391;-0.174277;2.011524;2;-0.082591;-0.571769;2.025971;2;-0.099203;-0.905412;2.057824;2;-0.074397;-0.965257;1.986943;2;0.042139;-0.178147;2.029163;2;0.023223;-0.581261;2.035276;2;0.010198;-0.905578;2.055916;2;0.006345;-0.966357;1.981321;2;-0.010598;0.354139;2.083007;2;-0.228349;-0.278009;1.987292;2;-0.269614;-0.209177;2.002706;2;0.150377;-0.318329;2.013223;2;0.125949;-0.247031;1.971214;2
48606501;-0.024158;-0.179319;2.055666;2;-0.017372;0.129247;2.075730;2;-0.007792;0.426981;2.081946;2;0.008121;0.564883;2.095543;2;-0.161503;0.305311;2.028573;2;-0.234359;0.040195;2.052256;2;-0.244525;-0.178815;1.998513;2;-0.231831;-0.213700;1.990094;2;0.143178;0.295280;2.068913;2;0.178560;0.033358;2.085892;2;0.173662;-0.185525;2.030532;2;0.164394;-0.247995;2.007508;2;-0.090016;-0.174277;2.011155;2;-0.082557;-0.571857;2.025465;2;-0.099194;-0.905294;2.057650;2;-0.074263;-0.965096;1.986307;2;0.042487;-0.178154;2.028905;2;0.023861;-0.581349;2.035205;2;0.010672;-0.905631;2.056104;2;0.006450;-0.966267;1.981213;2;-0.010567;0.354042;2.082840;2;-0.225125;-0.282617;1.988714;2;-0.271162;-0.218221;2.002093;2;0.168237;-0.313545;2.008968;2;0.126622;-0.237175;1.971094;2
48606533;-0.024080;-0.179472;2.055287;2;-0.017204;0.129135;2.075541;2;-0.007770;0.426939;2.081944;2;0.007994;0.564844;2.095726;2;-0.161418;0.305119;2.028588;2;-0.234246;0.040206;2.052129;2;-0.244304;-0.178761;1.998093;2;-0.231882;-0.213174;1.991821;2;0.143095;0.295142;2.068579;2;0.179641;0.033732;2.084735;2;0.175920;-0.185316;2.030039;2;0.169865;-0.248654;2.014230;2;-0.089959;-0.174433;2.010835;2;-0.083830;-0.571009;2.024836;2;-0.099261;-0.905665;2.057984;2;-0.074283;-0.965337;1.987276;2;0.042581;-0.178287;2.028527;2;0.024437;-0.581945;2.035255;2;0.010852;-0.906204;2.056173;2;0.006782;-0.965928;1.981040;2;-0.010498;0.353976;2.082798;2;-0.226028;-0.282690;1.989252;2;-0.271094;-0.222299;2.001197;2;0.178706;-0.315354;2.017977;2;0.127807;-0.241338;1.975484;2
48606565;-0.024218;-0.179465;2.055040;2;-0.017191;0.129118;2.075509;2;-0.007769;0.426878;2.082029;2;0.007768;0.564840;2.095973;2;-0.161860;0.306459;2.030256;2;-0.234127;0.040161;2.052234;2;-0.243854;-0.178726;1.997661;2;-0.230989;-0.214089;1.991491;2;0.143094;0.295170;2.068523;2;0.180777;0.033709;2.083379;2;0.180036;-0.185746;2.030628;2;0.174337;-0.249299;2.019360;2;-0.090038;-0.174437;2.010767;2;-0.083798;-0.571025;2.024837;2;-0.099228;-0.905677;2.058017;2;-0.073437;-0.965993;1.988784;2;0.042391;-0.178260;2.028040;2;0.025553;-0.581808;2.035457;2;0.011082;-0.906058;2.056137;2;0.006022;-0.966509;1.982934;2;-0.010482;0.353940;2.082825;2;-0.226628;-0.282912;1.989257;2;-0.268060;-0.230819;1.992923;2;0.186224;-0.320155;2.022288;2;0.128486;-0.272194;1.981900;2
48606598;-0.024219;-0.179458;2.054864;2;-0.017141;0.129097;2.075413;2;-0.007778;0.426855;2.082025;2;0.007515;0.564768;2.095965;2;-0.162307;0.307350;2.031868;2;-0.234004;0.040192;2.052223;2;-0.243726;-0.178661;1.997476;2;-0.231237;-0.213602;1.990626;2;0.142858;0.294820;2.067362;2;0.181790;0.033375;2.081881;2;0.182586;-0.186415;2.030974;2;0.177952;-0.250854;2.021699;2;-0.090041;-0.174439;2.010761;2;-0.083296;-0.570935;2.024745;2;-0.099134;-0.905922;2.058091;2;-0.073676;-0.965754;1.986649;2;0.042418;-0.178223;2.027531;2;0.025872;-0.581997;2.035470;2;0.011442;-0.906297;2.055698;2;0.006571;-0.966545;1.982382;2;-0.010474;0.353916;2.082803;2;-0.226450;-0.282690;1.987723;2;-0.268765;-0.232119;1.994667;2;0.192797;-0.315716;2.021663;2;0.134601;-0.267085;1.994369;2
48606632;-0.024340;-0.179475;2.054777;2;-0.017157;0.129061;2.075364;2;-0.007822;0.426785;2.082018;2;0.007354;0.564770;2.096118;2;-0.165754;0.307590;2.034912;2;-0.233867;0.040106;2.052332;2;-0.243538;-0.178758;1.997584;2;-0.231626;-0.213502;1.993330;2;0.142812;0.294743;2.066985;2;0.182358;0.033128;2.080396;2;0.185613;-0.187042;2.031784;2;0.180427;-0.252604;2.027660;2;-0.090158;-0.174464;2.010771;2;-0.083586;-0.570570;2.024668;2;-0.099107;-0.905841;2.058133;2;-0.073268;-0.965687;1.987837;2;0.042280;-0.178234;2.027328;2;0.026398;-0.582052;2.035485;2;0.011185;-0.906269;2.056145;2;0.007051;-0.966574;1.982836;2;-0.010494;0.353858;2.082779;2;-0.227558;-0.282495;1.989790;2;-0.268946;-0.223046;1.996445;2;0.194359;-0.321765;2.030926;2;0.136479;-0.273405;2.004350;2
48606665;-0.024401;-0.179509;2.054621;2;-0.017133;0.129025;2.075193;2;-0.007843;0.426755;2.081922;2;0.007166;0.564711;2.096071;2;-0.165519;0.307896;2.035166;2;-0.233652;0.040056;2.052447;2;-0.243198;-0.178752;1.997389;2;-0.230994;-0.213979;1.992755;2;0.142675;0.294412;2.065718;2;0.182956;0.032397;2.077943;2;0.186771;-0.188231;2.032206;2;0.179386;-0.253991;2.027582;2;-0.090196;-0.174473;2.010756;2;-0.083470;-0.571109;2.024480;2;-0.099430;-0.907342;2.060766;2;-0.073517;-0.965372;1.986392;2;0.042217;-0.178311;2.026953;2;0.026751;-0.582279;2.035587;2;0.011297;-0.906261;2.058219;2;0.007466;-0.966684;1.981711;2;-0.010488;0.353821;2.082648;2;-0.227536;-0.283221;1.989503;2;-0.269610;-0.224430;1.998083;2;0.191326;-0.322301;2.033612;2;0.136725;-0.267668;2.003950;2
48606700;-0.024297;-0.179601;2.054616;2;-0.016998;0.128927;2.075164;2;-0.007826;0.426699;2.081920;2;0.007059;0.564625;2.096035;2;-0.164726;0.306941;2.034607;2;-0.233129;0.039943;2.052190;2;-0.243000;-0.178926;1.997468;2;-0.230532;-0.214098;1.994415;2;0.142496;0.294317;2.064840;2;0.183148;0.032057;2.077074;2;0.187153;-0.188750;2.032478;2;0.178479;-0.254070;2.029706;2;-0.090106;-0.174622;2.010847;2;-0.084388;-0.571179;2.024403;2;-0.099448;-0.907210;2.060668;2;-0.073753;-0.965225;1.986004;2;0.042364;-0.178377;2.026896;2;0.027340;-0.582360;2.035696;2;0.011465;-0.906396;2.057681;2;0.007617;-0.966221;1.982274;2;-0.010432;0.353748;2.082633;2;-0.225447;-0.283006;1.991483;2;-0.268980;-0.230080;2.000114;2;0.189249;-0.322512;2.037410;2;0.137896;-0.272429;2.009187;2
48606734;-0.024146;-0.179621;2.054713;2;-0.016918;0.128898;2.075140;2;-0.007858;0.426648;2.081824;2;0.007002;0.564632;2.096029;2;-0.164569;0.307459;2.035076;2;-0.232752;0.039622;2.052174;2;-0.242965;-0.179289;1.997756;2;-0.231264;-0.213827;1.996408;2;0.142494;0.294308;2.064564;2;0.183241;0.031920;2.076463;2;0.187124;-0.188997;2.032580;2;0.174465;-0.253216;2.028222;2;-0.089952;-0.174625;2.011119;2;-0.084326;-0.571202;2.024536;2;-0.099340;-0.906952;2.060856;2;-0.074506;-0.966221;1.991235;2;0.042547;-0.178416;2.026922;2;0.028805;-0.583113;2.036033;2;0.011312;-0.906939;2.059092;2;0.007714;-0.966179;1.982235;2;-0.010419;0.353705;2.082555;2;-0.230837;-0.279261;1.991457;2;-0.268508;-0.210960;2.004579;2;0.183988;-0.316674;2.031127;2;0.137228;-0.255028;2.002111;2
48606765;-0.023946;-0.179827;2.054736;2;-0.016747;0.128716;2.074975;2;-0.007875;0.426471;2.081486;2;0.006893;0.564538;2.095802;2;-0.163755;0.306623;2.034174;2;-0.232716;0.039573;2.052461;2;-0.242927;-0.179310;1.997861;2;-0.230497;-0.215241;1.995185;2;0.142379;0.294184;2.063961;2;0.183313;0.031880;2.075990;2;0.186794;-0.189100;2.032409;2;0.171921;-0.253079;2.024527;2;-0.089793;-0.174848;2.011167;2;-0.085482;-0.568541;2.023928;2;-0.099126;-0.907153;2.061260;2;-0.074408;-0.965338;1.989792;2;0.042782;-0.178603;2.026958;2;0.028869;-0.583128;2.036053;2;0.011741;-0.907063;2.058339;2;0.007412;-0.966274;1.982418;2;-0.010357;0.353521;2.082247;2;-0.226376;-0.283138;1.992406;2;-0.268958;-0.219132;1.999304;2;0.175731;-0.316729;2.027465;2;0.135700;-0.265025;2.000253;2
